"date","Plate.SN","DIV","well","trt","dose","units","file.name","wt.mean.resistance"
"20220209","MW89-4616",0,"A1","Tributyltin Chloride",1e-04,"uM","iNFA_20220209_MW89-4616_00_(000)_Compiler.csv",18.347414
"20220209","MW89-4616",0,"A2","DMSO",0,"uM","iNFA_20220209_MW89-4616_00_(000)_Compiler.csv",18.85462
"20220209","MW89-4616",0,"A3","Tributyltin Chloride",3e-04,"uM","iNFA_20220209_MW89-4616_00_(000)_Compiler.csv",16.289201
"20220209","MW89-4616",0,"A4","Tributyltin Chloride",0.001,"uM","iNFA_20220209_MW89-4616_00_(000)_Compiler.csv",17.474547
"20220209","MW89-4616",0,"A5","Tributyltin Chloride",0.003,"uM","iNFA_20220209_MW89-4616_00_(000)_Compiler.csv",16.790118
"20220209","MW89-4616",0,"A6","Tributyltin Chloride",0.01,"uM","iNFA_20220209_MW89-4616_00_(000)_Compiler.csv",19.6887
"20220209","MW89-4616",0,"A7","Tributyltin Chloride",0.03,"uM","iNFA_20220209_MW89-4616_00_(000)_Compiler.csv",17.894643
"20220209","MW89-4616",0,"A8","Tributyltin Chloride",0.1,"uM","iNFA_20220209_MW89-4616_00_(000)_Compiler.csv",16.537299
"20220209","MW89-4616",0,"B1","Deltamethrin",0.03,"uM","iNFA_20220209_MW89-4616_00_(000)_Compiler.csv",17.332346
"20220209","MW89-4616",0,"B2","EtOH:DMSO",0,"uM","iNFA_20220209_MW89-4616_00_(000)_Compiler.csv",17.815364
"20220209","MW89-4616",0,"B3","Deltamethrin",0.1,"uM","iNFA_20220209_MW89-4616_00_(000)_Compiler.csv",16.869574
"20220209","MW89-4616",0,"B4","Deltamethrin",0.3,"uM","iNFA_20220209_MW89-4616_00_(000)_Compiler.csv",16.522747
"20220209","MW89-4616",0,"B5","Deltamethrin",1,"uM","iNFA_20220209_MW89-4616_00_(000)_Compiler.csv",14.885538
"20220209","MW89-4616",0,"B6","Deltamethrin",3,"uM","iNFA_20220209_MW89-4616_00_(000)_Compiler.csv",18.074368
