"date","Plate.SN","DIV","well","trt","dose","units","file.name","wt.mean.resistance"
"20220209","MW89-4613",0,"F1","Rotenone",3e-05,"uM","iNFA_20220209_MW89-4613_00_(000)_Compiler.csv",14.142131
"20220209","MW89-4613",0,"F2","DMSO",0,"uM","iNFA_20220209_MW89-4613_00_(000)_Compiler.csv",12.740105
"20220209","MW89-4613",0,"F3","Rotenone",1e-04,"uM","iNFA_20220209_MW89-4613_00_(000)_Compiler.csv",14.278108
"20220209","MW89-4613",0,"F4","Rotenone",3e-04,"uM","iNFA_20220209_MW89-4613_00_(000)_Compiler.csv",11.984508
"20220209","MW89-4613",0,"F5","Rotenone",0.001,"uM","iNFA_20220209_MW89-4613_00_(000)_Compiler.csv",16.505622
"20220209","MW89-4613",0,"F6","Rotenone",0.003,"uM","iNFA_20220209_MW89-4613_00_(000)_Compiler.csv",15.958891
"20220209","MW89-4613",0,"F7","Rotenone",0.01,"uM","iNFA_20220209_MW89-4613_00_(000)_Compiler.csv",15.801338
"20220209","MW89-4613",0,"F8","Rotenone",0.03,"uM","iNFA_20220209_MW89-4613_00_(000)_Compiler.csv",17.130401
"20220209","MW89-4613",2,"A1","Thiamethoxam",0.03,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",22.481958
"20220209","MW89-4613",2,"A2","DMSO",0,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",22.433845
"20220209","MW89-4613",2,"A3","Thiamethoxam",0.1,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",22.672875
"20220209","MW89-4613",2,"A4","Thiamethoxam",0.3,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",19.781512
"20220209","MW89-4613",2,"A5","Thiamethoxam",1,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",20.065392
"20220209","MW89-4613",2,"A6","Thiamethoxam",3,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",21.09277
"20220209","MW89-4613",2,"A7","Thiamethoxam",10,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",18.265178
"20220209","MW89-4613",2,"A8","Thiamethoxam",30,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",22.869112
"20220209","MW89-4613",2,"B1","Tributyltin Chloride",1e-04,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",22.475485
"20220209","MW89-4613",2,"B2","DMSO",0,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",21.964548
"20220209","MW89-4613",2,"B3","Tributyltin Chloride",3e-04,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",20.462386
"20220209","MW89-4613",2,"B4","Tributyltin Chloride",0.001,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",21.542225
"20220209","MW89-4613",2,"B5","Tributyltin Chloride",0.003,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",21.90434
"20220209","MW89-4613",2,"B6","Tributyltin Chloride",0.01,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",22.2492
"20220209","MW89-4613",2,"B7","Tributyltin Chloride",0.03,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",22.75126
"20220209","MW89-4613",2,"B8","Tributyltin Chloride",0.1,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",9.092829
"20220209","MW89-4613",2,"C1","Deltamethrin",0.03,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",18.828888
"20220209","MW89-4613",2,"C2","EtOH:DMSO",0,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",19.656754
"20220209","MW89-4613",2,"C3","Deltamethrin",0.1,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",21.841915
"20220209","MW89-4613",2,"C4","Deltamethrin",0.3,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",22.643124
"20220209","MW89-4613",2,"C5","Deltamethrin",1,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",22.184008
"20220209","MW89-4613",2,"C6","Deltamethrin",3,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",20.947144
"20220209","MW89-4613",2,"C7","Deltamethrin",10,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",19.667709
"20220209","MW89-4613",2,"C8","Deltamethrin",30,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",19.292112
"20220209","MW89-4613",2,"D1","Glyphosate",0.03,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",18.329939
"20220209","MW89-4613",2,"D2","H2O",0,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",18.068297
"20220209","MW89-4613",2,"D3","Glyphosate",0.1,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",21.177442
"20220209","MW89-4613",2,"D4","Glyphosate",0.3,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",20.271237
"20220209","MW89-4613",2,"D5","Glyphosate",1,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",21.770626
"20220209","MW89-4613",2,"D6","Glyphosate",3,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",18.541066
"20220209","MW89-4613",2,"D7","Glyphosate",10,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",23.834302
"20220209","MW89-4613",2,"D8","Glyphosate",30,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",17.301033
"20220209","MW89-4613",2,"E1","Lindane",0.03,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",17.555612
"20220209","MW89-4613",2,"E2","EtOH",0,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",20.950741
"20220209","MW89-4613",2,"E3","Lindane",0.1,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",20.244274
"20220209","MW89-4613",2,"E4","Lindane",0.3,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",17.611788
"20220209","MW89-4613",2,"E5","Lindane",1,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",16.826198
"20220209","MW89-4613",2,"E6","Lindane",3,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",18.294625
"20220209","MW89-4613",2,"E7","Lindane",10,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",18.843148
"20220209","MW89-4613",2,"E8","Lindane",30,"uM","iNFA_20220209_MW89-4613_02_(000)_Compiler.csv",17.340692
