"date","Plate.SN","DIV","well","trt","dose","units","file.name","wt.mean.resistance"
"20220209","MW89-4615",0,"A1","Deltamethrin",0.03,"uM","iNFA_20220209_MW89-4615_00_(000)_Compiler.csv",16.655991
"20220209","MW89-4615",0,"A2","EtOH:DMSO",0,"uM","iNFA_20220209_MW89-4615_00_(000)_Compiler.csv",17.912796
"20220209","MW89-4615",0,"A3","Deltamethrin",0.1,"uM","iNFA_20220209_MW89-4615_00_(000)_Compiler.csv",17.917541
"20220209","MW89-4615",0,"A4","Deltamethrin",0.3,"uM","iNFA_20220209_MW89-4615_00_(000)_Compiler.csv",17.867718
"20220209","MW89-4615",0,"A5","Deltamethrin",1,"uM","iNFA_20220209_MW89-4615_00_(000)_Compiler.csv",15.698614
"20220209","MW89-4615",0,"A6","Deltamethrin",3,"uM","iNFA_20220209_MW89-4615_00_(000)_Compiler.csv",17.52957
"20220209","MW89-4615",0,"A7","Deltamethrin",10,"uM","iNFA_20220209_MW89-4615_00_(000)_Compiler.csv",17.515069
"20220209","MW89-4615",0,"A8","Deltamethrin",30,"uM","iNFA_20220209_MW89-4615_00_(000)_Compiler.csv",16.665665
"20220209","MW89-4615",0,"B1","Thiamethoxam",0.03,"uM","iNFA_20220209_MW89-4615_00_(000)_Compiler.csv",15.905887
"20220209","MW89-4615",0,"B2","DMSO",0,"uM","iNFA_20220209_MW89-4615_00_(000)_Compiler.csv",16.796348
"20220209","MW89-4615",0,"B3","Thiamethoxam",0.1,"uM","iNFA_20220209_MW89-4615_00_(000)_Compiler.csv",17.167206
"20220209","MW89-4615",0,"B4","Thiamethoxam",0.3,"uM","iNFA_20220209_MW89-4615_00_(000)_Compiler.csv",17.045675
"20220209","MW89-4615",0,"B5","Thiamethoxam",1,"uM","iNFA_20220209_MW89-4615_00_(000)_Compiler.csv",16.794738
"20220209","MW89-4615",0,"B6","Thiamethoxam",3,"uM","iNFA_20220209_MW89-4615_00_(000)_Compiler.csv",18.001201
"20220209","MW89-4615",0,"B7","Thiamethoxam",10,"uM","iNFA_20220209_MW89-4615_00_(000)_Compiler.csv",18.00664
"20220209","MW89-4615",0,"B8","Thiamethoxam",30,"uM","iNFA_20220209_MW89-4615_00_(000)_Compiler.csv",16.188042
"20220209","MW89-4615",0,"C1","Tributyltin Chloride",1e-04,"uM","iNFA_20220209_MW89-4615_00_(000)_Compiler.csv",17.068646
"20220209","MW89-4615",0,"C2","DMSO",0,"uM","iNFA_20220209_MW89-4615_00_(000)_Compiler.csv",18.27242
"20220209","MW89-4615",0,"C3","Tributyltin Chloride",3e-04,"uM","iNFA_20220209_MW89-4615_00_(000)_Compiler.csv",16.764439
"20220209","MW89-4615",0,"C4","Tributyltin Chloride",0.001,"uM","iNFA_20220209_MW89-4615_00_(000)_Compiler.csv",19.370544
"20220209","MW89-4615",0,"C5","Tributyltin Chloride",0.003,"uM","iNFA_20220209_MW89-4615_00_(000)_Compiler.csv",15.815067
"20220209","MW89-4615",0,"C6","Tributyltin Chloride",0.01,"uM","iNFA_20220209_MW89-4615_00_(000)_Compiler.csv",17.278842
"20220209","MW89-4615",0,"C7","Tributyltin Chloride",0.03,"uM","iNFA_20220209_MW89-4615_00_(000)_Compiler.csv",17.54986
"20220209","MW89-4615",0,"C8","Tributyltin Chloride",0.1,"uM","iNFA_20220209_MW89-4615_00_(000)_Compiler.csv",16.790856
"20220209","MW89-4615",0,"D1","Rotenone",3e-05,"uM","iNFA_20220209_MW89-4615_00_(000)_Compiler.csv",19.044698
"20220209","MW89-4615",0,"D2","DMSO",0,"uM","iNFA_20220209_MW89-4615_00_(000)_Compiler.csv",18.199278
"20220209","MW89-4615",0,"D3","Rotenone",1e-04,"uM","iNFA_20220209_MW89-4615_00_(000)_Compiler.csv",18.873954
"20220209","MW89-4615",0,"D4","Rotenone",3e-04,"uM","iNFA_20220209_MW89-4615_00_(000)_Compiler.csv",19.040928
"20220209","MW89-4615",0,"D5","Rotenone",0.001,"uM","iNFA_20220209_MW89-4615_00_(000)_Compiler.csv",19.560203
"20220209","MW89-4615",0,"D6","Rotenone",0.003,"uM","iNFA_20220209_MW89-4615_00_(000)_Compiler.csv",17.913568
"20220209","MW89-4615",0,"D7","Rotenone",0.01,"uM","iNFA_20220209_MW89-4615_00_(000)_Compiler.csv",19.0516
"20220209","MW89-4615",0,"D8","Rotenone",0.03,"uM","iNFA_20220209_MW89-4615_00_(000)_Compiler.csv",16.556097
