"date","Plate.SN","well","treatment","dose","units","wllq","wllq_notes","meanfiringrate_auc","burst.per.min_auc","mean.isis_auc","per.spikes.in.burst_auc","mean.dur_auc","mean.IBIs_auc","nAE_auc","nABE_auc","ns.n_auc","ns.peak.m_auc","ns.durn.m_auc","ns.percent.of.spikes.in.ns_auc","ns.mean.insis_auc","ns.durn.sd_auc","ns.mean.spikes.in.ns_auc","r_auc","mi_auc"
"20201209","MW71-7211","D8","3361 A05","5.00000","uM","1","",3.545246,6.486429,0.240193,399.903357,3.385643,390.86325,72,30,42.5,91,1.613929,88.564262,1055.766667,0.130496,701.25,1.741138,0.022833
"20201209","MW71-7213","E8","3361 A05","5.00000","uM","1","",3.82314,4.371099,0.216466,360.359071,3.483679,373.020571,69,34.5,45,79.708333,1.524517,65.108699,920.732353,0.337051,521.291667,1.694063,0.028745
"20201209","MW71-7214","F8","3361 A05","5.00000","uM","1","",10.573632,13.536,0.366771,365.143115,8.783917,302.744729,89,56.5,84.5,84.555556,1.425169,47.471109,751.886154,0.564277,628.740741,1.200748,0.030823
"20201209","MW71-7215","D1","3361 B05","5.00000","uM","1","",4.672864,3.842051,0.378602,256.5505,4.8315,283.72675,54.5,22.5,23,66.166667,2.198382,39.482283,1155.021875,0.199694,505,1.122202,0.019766
"20201209","MW71-7217","E1","3361 B05","5.00000","uM","1","",10.316995,11.367054,0.750786,345.575052,23.708623,251.311244,89,51.5,55.5,88.297619,1.789279,36.113952,1483.726389,0.386088,678.60119,1.099404,0.023476
"20201209","MW72-8203","F1","3361 B05","5.00000","uM","1","",23.090079,11.762532,0.880641,370.103239,103.769718,243.497492,78.5,43,49,71.5,1.923894,14.916616,665.899351,0.591376,523.125,0.834912,0.019784
"20201209","MW72-8203","A3","3361 C05","5.00000","uM","1","",14.003341,16.223286,0.440662,316.37705,6.59435,278.24815,69,45.5,36.5,73.166667,2.093125,27.050353,1028.402841,0.184105,571.708333,0.819765,0.017158
"20201209","MW71-7215","B3","3361 C05","5.00000","uM","1","",6.33936,2.291429,0.086631,176.402375,2.606687,379.50525,35,14.5,27,46.858974,1.112332,50.508221,886.575,0.661322,308.461538,0.838849,0.012679
"20201209","MW71-7217","C3","3361 C05","5.00000","uM","1","",4.990507,5.8815,0.185229,71.357333,2.996667,76.400667,48,6,19,63.433333,1.987222,64.982322,1048.79375,0.528154,531.3,1.466972,0.003992
"20201209","MW71-7217","D3","3361 D05","5.00000","uM","1","",0.606853,1.28,0.040573,134.043,0.594187,132.987375,18.5,12,20,42.35,0.591573,109.9785,1038.458333,0.216904,195.4,2.07558,0
"20201209","MW72-8203","E3","3361 D05","5.00000","uM","1","",5.35126,2.88,0.230179,355.019857,19.9715,320.946143,53,19.5,27.5,62.791667,1.760124,35.054058,1851.55,0.21214,466.458333,1.410623,0.017132
"20201209","MW71-7215","F3","3361 D05","5.00000","uM","1","",12.170153,26.110714,0.442474,317.938141,7.844776,147.043558,54,30.5,63.5,64.277778,1.638578,30.381079,745.675962,0.366058,420,0.920168,0.021026
"20201209","MW71-7215","D4","3361 E05","5.00000","uM","1","",2.399117,2.76,0.073527,156.442,2.882,54.102,2,2,0,0,0,0,0,0,0,0,0
"20201209","MW71-7217","E4","3361 E05","5.00000","uM","1","",9.849043,8.22,0.600948,175.681437,7.544813,284.431625,32.5,24,21,41.666667,0.621296,12.761901,828.940625,0.10254,261.166667,0.234315,0.005247
"20201209","MW72-8203","F4","3361 E05","5.00000","uM","1","",23.67756,19.734545,0.657816,379.205329,84.840029,106.807943,49.5,36.5,28,42,1.502154,5.916768,497.709848,0.56897,333.75,0.162466,0.006902
"20201209","MW71-7217","A5","3361 F05","5.00000","uM","1","",14.085116,16.299923,0.780959,458.295937,79.955271,313.560771,62,46.5,81,61.323511,1.128613,72.026411,505.985714,0.376299,430.821003,1.575153,0.03541
"20201209","MW72-8203","B5","3361 F05","5.00000","uM","1","",5.992063,4.68,0.262189,158.493781,1.961813,207.226687,55.5,26.5,34,80.4,1.532803,74.303652,1735.296429,0.375654,612.133333,1.157433,0.018329
"20201209","MW71-7215","C5","3361 F05","5.00000","uM","1","",1.227367,2.14125,0.073861,250.064571,2.0625,405.101143,22,13,29.5,46,0.658359,113.882687,450.120833,0.249031,270.044643,1.726902,0.008207
