"date","Plate.SN","well","DIV","trt","dose","units","file.name","meanfiringrate","burst.per.min","mean.isis","per.spikes.in.burst","mean.dur","mean.IBIs","nAE","nABE","ns.n","ns.peak.m","ns.durn.m","ns.percent.of.spikes.in.ns","ns.mean.insis","ns.durn.sd","ns.mean.spikes.in.ns","r","mi","wllq","wllq_notes"
"20160921","MW1159-40","A5",7,"Simvastatin",0.3,"uM","ON_20160921_MW1159-40_07_00(000).h5",1.16083790144395,0.981818181818182,0.0374458655561408,75.1252222222222,1.81422222222222,68.9727777777778,11,10,10,14,0.315868055555556,3.29292408219414,84.2944444444445,0.0758139930482748,38.3,0.144636854470206,0.000564635230735883,1,""
"20160921","MW1159-40","A5",9,"Simvastatin",0.3,"uM","ON_20160921_MW1159-40_09_00(000).h5",0.88959495737411,1.84125,0.0252054280290928,88.3316875,0.4848125,38.36275,16,16,23,15.1739130434783,0.339441385908777,17.0101483216237,39.1840909090909,0.0761358230458505,94.7391304347826,0.375821594909285,0.00811400912278515,1,""
"20160921","MW1159-40","A6",12,"Simvastatin",1,"uM","ON_20160921_MW1159-40_12_00(000).h5",0.769808038623018,1.95272727272727,0.0293156317348892,96.0885555555556,0.449555555555556,25.0857777777778,11,9,36,12.3055555555556,0.174239292728876,19.7510050577098,25.0357142857143,0.0270776945237358,42.3055555555556,0.300955186089153,0.00399632840028755,1,""
"20160921","MW1159-40","A6",5,"Simvastatin",1,"uM","ON_20160921_MW1159-40_05_00(000).h5",0.754546324966011,0.18,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","A6",7,"Simvastatin",1,"uM","ON_20160921_MW1159-40_07_00(000).h5",1.0322487395454,0.48,0.0794533333333309,7.979,0.536,123.201,2,1,0,NA,NA,0,NA,NA,NA,-0.00474637547962587,6.18739442480309e-07,1,""
"20160921","MW1159-40","A6",9,"Simvastatin",1,"uM","ON_20160921_MW1159-40_09_00(000).h5",1.0099206037033,1.73,0.0459700552575718,77.72625,1.289,44.3640833333333,12,12,20,11.05,0.336314484126984,3.2716275659824,45.7657894736842,0.0546713139222033,17.85,0.150981525659655,0.000541526194523217,1,""
"20160921","MW1159-40","A7",12,"Simvastatin",3,"uM","ON_20160921_MW1159-40_12_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","A7",5,"Simvastatin",3,"uM","ON_20160921_MW1159-40_05_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","A7",7,"Simvastatin",3,"uM","ON_20160921_MW1159-40_07_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20160921","MW1159-40","A7",9,"Simvastatin",3,"uM","ON_20160921_MW1159-40_09_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
