date,Plate.SN,DIV,well,wllq,wllq_notes,affected_endpoints
20210331,MW75-8101,all,D3,0,,"mea,CTB,LDH"
20210127,MW75-5620,all,all,0,low activity across culture,"mea,CTB,LDH"
