"date","Plate.SN","DIV","well","trt","dose","units","meanfiringrate","burst.per.min","mean.isis","per.spikes.in.burst","mean.dur","mean.IBIs","nAE","nABE","ns.n","ns.peak.m","ns.durn.m","ns.percent.of.spikes.in.ns","ns.mean.insis","ns.durn.sd","ns.mean.spikes.in.ns","r","cv.time","cv.network","file.name"
"20140716","MW1007-26","5","A1","Glyphosate","0","uM",0.77162549850338,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,1.51450965627254,1.88838625609786,"ON_20140716_MW1007-26_05_00_001.h5"
"20140716","MW1007-26","5","A2","Glyphosate","0.1","uM",0.133230301899864,0,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,-0.00127264019987147,2.16625201290286,1.04620756705909,"ON_20140716_MW1007-26_05_00_001.h5"
"20140716","MW1007-26","5","A3","Glyphosate","0.3","uM",0.711671862648441,1.41,0.068923661499792,29.9255,0.404,39.014,4,2,0,NA,NA,0,NA,NA,NA,-0.000966560135078428,0.944188804760497,1.55845583629189,"ON_20140716_MW1007-26_05_00_001.h5"
"20140716","MW1007-26","5","B1","Bisindolymaleimide 1","0","uM",0.551795500368604,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,2.02948037413297,0.742988246288759,"ON_20140716_MW1007-26_05_00_001.h5"
"20140716","MW1007-26","5","B3","Bisindolymaleimide 1","0.1","uM",0.378596107898781,0.12,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,0.00224484006583882,2.06268536807453,1.02474609103493,"ON_20140716_MW1007-26_05_00_001.h5"
"20140716","MW1007-26","5","B4","Bisindolymaleimide 1","0.3","uM",0.475188076776182,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,1.92312180207792,0.573136002511953,"ON_20140716_MW1007-26_05_00_001.h5"
"20140716","MW1007-26","5","B5","Bisindolymaleimide 1","1","uM",0.235373533356427,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,1.34492526905843,0.954205467352361,"ON_20140716_MW1007-26_05_00_001.h5"
"20140716","MW1007-26","5","B8","Bisindolymaleimide 1","10","uM",0.6861360547843,0.06,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,2.8760857702063,2.45719749990237,"ON_20140716_MW1007-26_05_00_001.h5"
"20140716","MW1007-26","5","C1","Sodium Orthovanadate","0","uM",0.102143231456562,0,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,-0.000947695646692278,1.48442017123902,1.35418894522793,"ON_20140716_MW1007-26_05_00_001.h5"
"20140716","MW1007-26","5","C3","Sodium Orthovanadate","0.03","uM",0.681695044720971,0.22,0.0994859016393473,4.342,0.759,46.815,3,1,0,NA,NA,0,NA,NA,NA,0.00132605588596963,0.896777258979693,1.04598794716551,"ON_20140716_MW1007-26_05_00_001.h5"
"20140716","MW1007-26","5","C5","Sodium Orthovanadate","0.3","uM",0.350839795002975,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,2.04569019033895,2.1859565258215,"ON_20140716_MW1007-26_05_00_001.h5"
"20140716","MW1007-26","5","C6","Sodium Orthovanadate","1","uM",0.360832067645465,0.06,NA,0,NA,NA,3,0,0,NA,NA,0,NA,NA,NA,-0.00278403713883078,0.332430610590358,1.37083337152223,"ON_20140716_MW1007-26_05_00_001.h5"
"20140716","MW1007-26","5","C7","Sodium Orthovanadate","3","uM",1.12357554602219,0.24,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0.703076800981389,1.96778769618802,"ON_20140716_MW1007-26_05_00_001.h5"
"20140716","MW1007-26","5","C8","Sodium Orthovanadate","10","uM",0.495172622061162,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0.982426989755423,0.753503833924099,"ON_20140716_MW1007-26_05_00_001.h5"
