"date","Plate.SN","DIV","well","trt","dose","units","meanfiringrate","burst.per.min","mean.isis","per.spikes.in.burst","mean.dur","mean.IBIs","nAE","nABE","ns.n","ns.peak.m","ns.durn.m","ns.percent.of.spikes.in.ns","ns.mean.insis","ns.durn.sd","ns.mean.spikes.in.ns","r","cv.time","cv.network","file.name"
"20140402","MW1007-27","5","A1","Acetaminophen","0","uM",0.558688160850534,0.92,0.063847887196669,33.8192,0.4196,49.855,9,5,1,8,0.1,0.202205882352941,NA,NA,11,0.0150659018500941,1.20651418768645,1.19337266357076,"ON_20140402_MW1007-27_05_00_001.h5"
"20140402","MW1007-27","5","A2","Acetaminophen","0.1","uM",0.939121062705091,0.945,0.0704337434802801,54.78,0.543,53.1866,8,5,15,11.9333333333333,0.128796296296296,3.40276095906999,72.4107142857143,0.0253494610380499,18.7333333333333,0.0483997480144086,0.934148637455014,1.51580563390655,"ON_20140402_MW1007-27_05_00_001.h5"
"20140402","MW1007-27","5","A3","Acetaminophen","0.3","uM",0.305197595769366,1.01,0.0721678078239041,44.5716666666667,0.403666666666667,41.2546666666667,6,3,0,NA,NA,0,NA,NA,NA,0.0139443933719063,0.866582093949153,1.11918941938969,"ON_20140402_MW1007-27_05_00_001.h5"
"20140402","MW1007-27","5","A4","Acetaminophen","1","uM",0.634041699475408,0.34,0.103676914893617,19.044,0.517,93.043,9,2,4,8,0.1121875,0.614290333010023,288.416666666667,0.0131646227316496,9.5,0.00961707656741547,0.913479610515729,1.07303313561124,"ON_20140402_MW1007-27_05_00_001.h5"
"20140402","MW1007-27","5","A5","Acetaminophen","3","uM",0.798684452069172,1.424,0.0323545245359801,64.5207142857143,0.381642857142857,63.9383571428571,15,14,15,15.6666666666667,0.185879324379324,11.6662738628329,72.0964285714286,0.0558682605067198,99,0.248580117596457,0.538305016968895,0.884445215734289,"ON_20140402_MW1007-27_05_00_001.h5"
"20140402","MW1007-27","5","A6","Acetaminophen","10","uM",0.493171569527317,0.36,0.0428051802428826,60.2635,0.446,62.648,5,2,0,NA,NA,0,NA,NA,NA,0.0202164832340228,1.10438715817431,1.64715045597978,"ON_20140402_MW1007-27_05_00_001.h5"
"20140402","MW1007-27","5","A7","Acetaminophen","30","uM",1.20029674286568,2.472,0.0668708856410883,40.5545,0.49525,45.46175,5,4,6,7,0.12,1.05795768169273,193.35,0.0167891333903808,11.5,0.0479496473096138,0.866706973320433,2.69159546252465,"ON_20140402_MW1007-27_05_00_001.h5"
"20140402","MW1007-27","5","A8","Acetaminophen","0","uM",0.224904564375497,0.38,0.0330070601495738,50.52675,0.26,103.56575,9,4,10,9.3,0.13253373015873,8.98366606170599,100.661111111111,0.028364432184772,19.8,0.0807409512470552,1.04257852818277,1.06226247014361,"ON_20140402_MW1007-27_05_00_001.h5"
"20140402","MW1007-27","5","B1","Bisindolymaleimide 1","0","uM",0.506886544130589,0.558,0.0744770770514993,18.8198,0.399,71.4936,10,5,0,NA,NA,0,NA,NA,NA,0.00892021653044683,0.804154512714525,1.05844438087091,"ON_20140402_MW1007-27_05_00_001.h5"
"20140402","MW1007-27","5","B2","Bisindolymaleimide 1","0.03","uM",0.799927582772128,1.77428571428571,0.0567349652736667,41.7202,0.5722,39.2324,7,5,11,7.72727272727273,0.136439393939394,2.18140068886338,95.695,0.0465028238525643,12.0909090909091,0.0367876154638311,0.734121427680746,1.49035844986903,"ON_20140402_MW1007-27_05_00_001.h5"
