date,Plate.SN,DIV,well,trt,dose,units,file.name,Mutual Information
20140716,MW1007-26,05,A1,Glyphosate,0,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,A2,Glyphosate,0.1,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,A3,Glyphosate,0.3,uM,ON_20140716_MW1007-26_05_00_001.h5,5.16535598270307e-06
20140716,MW1007-26,05,A4,Glyphosate,1,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,A5,Glyphosate,3,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,A6,Glyphosate,10,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,A7,Glyphosate,30,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,A8,Glyphosate,100,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,B1,Bisindolymaleimide 1,0,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,B2,Bisindolymaleimide 1,0.03,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,B3,Bisindolymaleimide 1,0.1,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,B4,Bisindolymaleimide 1,0.3,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,B5,Bisindolymaleimide 1,1,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,B6,Bisindolymaleimide 1,3,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,B7,Bisindolymaleimide 1,0,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,B8,Bisindolymaleimide 1,10,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,C1,Sodium Orthovanadate,0,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,C2,Sodium Orthovanadate,0.01,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,C3,Sodium Orthovanadate,0.03,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,C4,Sodium Orthovanadate,0.1,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,C5,Sodium Orthovanadate,0.3,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,C6,Sodium Orthovanadate,1,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,C7,Sodium Orthovanadate,3,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,C8,Sodium Orthovanadate,10,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,D1,Glyphosate,0,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,D2,Glyphosate,0.1,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,D3,Glyphosate,0.3,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,D4,Glyphosate,1,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,D5,Glyphosate,3,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,D6,Glyphosate,10,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,D7,Glyphosate,30,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,D8,Glyphosate,100,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,E1,Bisindolymaleimide 1,0,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,E2,Bisindolymaleimide 1,0.03,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,E3,Bisindolymaleimide 1,0.1,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,E4,Bisindolymaleimide 1,0.3,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,E5,Bisindolymaleimide 1,1,uM,ON_20140716_MW1007-26_05_00_001.h5,5.49998193507401e-06
20140716,MW1007-26,05,E6,Bisindolymaleimide 1,3,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,E7,Bisindolymaleimide 1,0,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,E8,Bisindolymaleimide 1,10,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,F1,Sodium Orthovanadate,0,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,F2,Sodium Orthovanadate,0.01,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,F3,Sodium Orthovanadate,0.03,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,F4,Sodium Orthovanadate,0.1,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,F5,Sodium Orthovanadate,0.3,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,F6,Sodium Orthovanadate,1,uM,ON_20140716_MW1007-26_05_00_001.h5,0
20140716,MW1007-26,05,F7,Sodium Orthovanadate,3,uM,ON_20140716_MW1007-26_05_00_001.h5,0
