date,Plate.SN,DIV,well,trt,dose,units,file.name,Mutual Information
20140730,MW1007-104,07,A6,Bisindolymaleimide 1,3,uM,ON_20140730_MW1007-104_07_00_001.h5,0
20140730,MW1007-104,07,A7,Bisindolymaleimide 1,10,uM,ON_20140730_MW1007-104_07_00_001.h5,0
20140730,MW1007-104,07,A8,Bisindolymaleimide 1,0,uM,ON_20140730_MW1007-104_07_00_001.h5,0
20140730,MW1007-104,07,B1,Glyphosate,0,uM,ON_20140730_MW1007-104_07_00_001.h5,0.000136512896231539
20140730,MW1007-104,07,B2,Glyphosate,0.1,uM,ON_20140730_MW1007-104_07_00_001.h5,0.00276353265242192
20140730,MW1007-104,07,B3,Glyphosate,0.3,uM,ON_20140730_MW1007-104_07_00_001.h5,0.00618269585566317
20140730,MW1007-104,07,B4,Glyphosate,1,uM,ON_20140730_MW1007-104_07_00_001.h5,0.00113273058685746
20140730,MW1007-104,07,B5,Glyphosate,3,uM,ON_20140730_MW1007-104_07_00_001.h5,0.00159025518913507
20140730,MW1007-104,07,B6,Glyphosate,10,uM,ON_20140730_MW1007-104_07_00_001.h5,0.000235368269724517
20140730,MW1007-104,07,B7,Glyphosate,30,uM,ON_20140730_MW1007-104_07_00_001.h5,0.000186239969365858
20140730,MW1007-104,07,B8,Glyphosate,100,uM,ON_20140730_MW1007-104_07_00_001.h5,0
20140730,MW1007-104,07,C1,Sodium Orthovanadate,0,uM,ON_20140730_MW1007-104_07_00_001.h5,0.00193111307578633
20140730,MW1007-104,07,C2,Sodium Orthovanadate,0.01,uM,ON_20140730_MW1007-104_07_00_001.h5,0.00132524943286817
20140730,MW1007-104,07,C3,Sodium Orthovanadate,0.03,uM,ON_20140730_MW1007-104_07_00_001.h5,0.00513958200111364
20140730,MW1007-104,07,C4,Sodium Orthovanadate,0.1,uM,ON_20140730_MW1007-104_07_00_001.h5,0.00287654454173311
20140730,MW1007-104,07,C5,Sodium Orthovanadate,0.3,uM,ON_20140730_MW1007-104_07_00_001.h5,0.000910101586074269
20140730,MW1007-104,07,C6,Sodium Orthovanadate,1,uM,ON_20140730_MW1007-104_07_00_001.h5,0.00261466840338334
20140730,MW1007-104,07,C7,Sodium Orthovanadate,3,uM,ON_20140730_MW1007-104_07_00_001.h5,3.59714535078659e-05
20140730,MW1007-104,07,C8,Sodium Orthovanadate,10,uM,ON_20140730_MW1007-104_07_00_001.h5,8.13758089995842e-07
20140730,MW1007-104,07,D1,Bisindolymaleimide 1,0,uM,ON_20140730_MW1007-104_07_00_001.h5,8.56969107413952e-05
20140730,MW1007-104,07,D2,Bisindolymaleimide 1,0.03,uM,ON_20140730_MW1007-104_07_00_001.h5,0.00140345229415068
20140730,MW1007-104,07,D3,Bisindolymaleimide 1,0.1,uM,ON_20140730_MW1007-104_07_00_001.h5,0.00159756567992046
20140730,MW1007-104,07,D4,Bisindolymaleimide 1,0.3,uM,ON_20140730_MW1007-104_07_00_001.h5,0.00078700263361368
20140730,MW1007-104,07,D5,Bisindolymaleimide 1,1,uM,ON_20140730_MW1007-104_07_00_001.h5,2.64973602279173e-06
20140730,MW1007-104,07,D6,Bisindolymaleimide 1,3,uM,ON_20140730_MW1007-104_07_00_001.h5,0
20140730,MW1007-104,07,D7,Bisindolymaleimide 1,10,uM,ON_20140730_MW1007-104_07_00_001.h5,0
20140730,MW1007-104,07,D8,Bisindolymaleimide 1,0,uM,ON_20140730_MW1007-104_07_00_001.h5,5.88464720166701e-05
20140730,MW1007-104,07,E1,Glyphosate,0,uM,ON_20140730_MW1007-104_07_00_001.h5,0.000149284112467007
20140730,MW1007-104,07,E2,Glyphosate,0.1,uM,ON_20140730_MW1007-104_07_00_001.h5,0.000741049810017769
20140730,MW1007-104,07,E3,Glyphosate,0.3,uM,ON_20140730_MW1007-104_07_00_001.h5,0.0044352480889579
