"date","Plate.SN","well","treatment","dose","units","wllq_by_well","wllq_notes_by_well","meanfiringrate_auc","burst.per.min_auc","mean.isis_auc","per.spikes.in.burst_auc","mean.dur_auc","mean.IBIs_auc","nAE_auc","nABE_auc","ns.n_auc","ns.peak.m_auc","ns.durn.m_auc","ns.percent.of.spikes.in.ns_auc","ns.mean.insis_auc","ns.durn.sd_auc","ns.mean.spikes.in.ns_auc","r_auc","mi_auc"
"20220615","MW78-7220","C1","7126 C3","0.1001","uM","1","",7.136104,6.159375,0.471184,469.215031,6.58225,383.846188,116,70.5,82.5,95.942308,2.55369,76.286006,824.789786,0.429665,880.057692,2.771601,0.082744
"20211110","MW78-6212","A1","7126 C9","0.1001","uM","0","(7126 C9) Sample has >= 4 noisy endpoints and platewise median of controls < 2SD below mean of all NFA data for key general activity endpoints; Hot water shut off in building; ",10.775114,6.785,0.52939,97.19325,5.6045,42.75575,24.5,5.5,0,0,0,0,0,0,0,-0.005303,5e-05
"20220615","MW78-7304","A1","7126 C9","0.1001","uM","1","",14.541607,10.79625,0.253107,454.162156,28.361156,276.9845,121,80,74,96,3.56146,39.664977,660.853667,0.358214,949.476923,1.962067,0.083973
"20211110","MW78-6213","B1","7126 C9","0.1001","uM","0","(7126 C9) Sample has >= 4 noisy endpoints and platewise median of controls < 2SD below mean of all NFA data for key general activity endpoints; Hot water shut off in building; ",11.017346,17.4825,0.234765,335.0935,4.669,18.01975,23.5,5.5,3,20.25,0.379375,0.989947,511.725,0.041543,64.5,0.015233,6.5e-05
"20220615","MW78-7305","B1","7126 C9","0.1001","uM","1","",14.077172,19.340833,0.432741,550.380438,8.016031,254.879621,118.5,90.5,101.5,134.765766,4.133948,44.02076,712.244048,0.486359,733.067568,2.242852,0.085354
"20211110","MW78-6211","C1","7126 C9","0.1001","uM","0","(7126 C9) Sample has >= 4 noisy endpoints and platewise median of controls < 2SD below mean of all NFA data for key general activity endpoints; Hot water shut off in building; ",6.871852,5.5125,0.46459,131.0221,14.9499,81.6002,25,10,4.5,22.5,0.212367,0.692,508.95,0.02428,67.5,0.014499,0.000141
"20220615","MW78-7303","C1","7126 C9","0.1001","uM","1","",9.80268,13.4,0.33477,541.876062,5.292687,312.304625,111,98.5,131,116.350202,3.035102,67.419384,772.039254,0.586569,665.594534,2.466716,0.084598
"20220601","MW78-7217","D8","7126 D5","0.1001","uM","1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20211124","MW78-6214","E1","7126 D5","0.1001","uM","1","Hot water shut off in building; ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20220601","MW78-7218","E8","7126 D5","0.1001","uM","1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20220601","MW78-7219","F8","7126 D5","0.1001","uM","1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20211124","MW78-6215","D1","7126 D6","0.1001","uM","1","Hot water shut off in building; ",10.674094,14.620375,0.255239,250.293771,4.82074,78.955469,74,39,77,61.55814,1.436361,22.274973,390.094643,0.262732,484.72093,0.778367,0.033879
"20211124","MW78-6216","E1","7126 D6","0.1001","uM","1","Hot water shut off in building; ",6.38413,6.823506,0.511178,284.99225,10.397375,220.543375,54.5,30,55,56.968571,1.261455,48.37786,338.10625,0.141408,498.534286,1.201712,0.034797
"20211124","MW78-6218","A1","7126 D9","0.1001","uM","1","Hot water shut off in building; ",12.650268,12.2325,0.763927,273.507763,11.602381,109.183919,77.5,39,69,20.184783,0.518707,14.77134,29.09,0.259861,134.184783,0.472081,0.027214
"20211124","MW78-6219","B1","7126 D9","0.1001","uM","1","Hot water shut off in building; ",18.49426,26.851875,0.418124,353.815085,6.510052,161.695597,102,75.5,108,94.677966,2.147273,18.757304,324.333908,0.447472,581.818402,1.011476,0.069976
"20211124","MW78-6217","C1","7126 D9","0.1001","uM","1","Hot water shut off in building; ",9.095211,5.74925,0.4331,251.793844,41.718875,315.073781,71.5,36,65,62.842857,1.435912,32.076621,444.080515,0.227748,552.285714,1.380816,0.050293
