"date","Plate.SN","rowi","coli","src_acsn","treatment","conc","rval","srcf","wllq_by_well","wllq_notes_by_well"
"20210915","MW75-9217",3,3,"AB","7126 A3",0.150012,25196.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",3,3,"LDH","7126 A3",0.150012,1.52586666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",3,4,"AB","7126 A3",0.50004,26399.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",3,4,"LDH","7126 A3",0.50004,1.42946666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",3,5,"AB","7126 A3",1.50012,25036.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",3,5,"LDH","7126 A3",1.50012,1.35766666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",3,6,"AB","7126 A3",5.0004,19194.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",3,6,"LDH","7126 A3",5.0004,0.604966666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",3,7,"AB","7126 A3",15.0012,710.333333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",3,7,"LDH","7126 A3",15.0012,0.00416666666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",3,8,"AB","7126 A3",50.004,476.333333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",3,8,"LDH","7126 A3",50.004,0.00456666666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",4,1,"AB","7126 A4",0.000300096,23561.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",4,1,"LDH","7126 A4",0.000300096,1.00776666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",4,2,"AB","7126 A4",0,27818.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",4,2,"LDH","7126 A4",0,1.46726666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",4,3,"AB","7126 A4",0.00100032,26408.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",4,3,"LDH","7126 A4",0.00100032,1.46276666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",4,4,"AB","7126 A4",0.00300096,25460.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",4,4,"LDH","7126 A4",0.00300096,1.25816666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",4,5,"AB","7126 A4",0.0100032,22391.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",4,5,"LDH","7126 A4",0.0100032,0.773866666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",4,6,"AB","7126 A4",0.0300096,18753.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",4,6,"LDH","7126 A4",0.0300096,0.332966666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",4,7,"AB","7126 A4",0.100032,15230.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",4,7,"LDH","7126 A4",0.100032,0.202966666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",4,8,"AB","7126 A4",0.300096,6623.33333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",4,8,"LDH","7126 A4",0.300096,0.0795666666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",5,1,"AB","7126 A5",0.100213,23820.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",5,1,"LDH","7126 A5",0.100213,0.823266666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",5,2,"AB","7126 A5",0,26181.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",5,2,"LDH","7126 A5",0,1.19886666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",5,3,"AB","7126 A5",0.300639,25096.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",5,3,"LDH","7126 A5",0.300639,1.18276666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",5,4,"AB","7126 A5",1.00213,26216.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",5,4,"LDH","7126 A5",1.00213,1.25906666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",5,5,"AB","7126 A5",3.00639,23972.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",5,5,"LDH","7126 A5",3.00639,1.28316666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",5,6,"AB","7126 A5",10.0213,24725.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",5,6,"LDH","7126 A5",10.0213,1.11676666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",5,7,"AB","7126 A5",30.0639,23626.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",5,7,"LDH","7126 A5",30.0639,0.985066666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",5,8,"AB","7126 A5",100.213,12346.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",5,8,"LDH","7126 A5",100.213,0.382966666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",6,1,"AB","7126 A6",0.025025,24528.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",6,1,"LDH","7126 A6",0.025025,0.810066666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",6,2,"AB","7126 A6",0,24835.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",6,2,"LDH","7126 A6",0,1.09516666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",6,3,"AB","7126 A6",0.075075,26120.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",6,3,"LDH","7126 A6",0.075075,1.16116666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",6,4,"AB","7126 A6",0.25025,24900.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",6,4,"LDH","7126 A6",0.25025,1.08516666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",6,5,"AB","7126 A6",0.75075,26293.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",6,5,"LDH","7126 A6",0.75075,1.04786666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",6,6,"AB","7126 A6",2.5025,25874.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",6,6,"LDH","7126 A6",2.5025,0.996166666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",6,7,"AB","7126 A6",7.5075,20182.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",6,7,"LDH","7126 A6",7.5075,0.836866666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",6,8,"AB","7126 A6",25.025,14720.3333333333,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9217",6,8,"LDH","7126 A6",25.025,0.549366666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",1,1,"AB","7126 A3",0.050004,20495.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",1,1,"LDH","7126 A3",0.050004,0.6326,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",1,2,"AB","7126 A3",0,25187.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",1,2,"LDH","7126 A3",0,0.8373,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",1,3,"AB","7126 A3",0.150012,25741.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",1,3,"LDH","7126 A3",0.150012,0.7955,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",1,4,"AB","7126 A3",0.50004,24329.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",1,4,"LDH","7126 A3",0.50004,0.9291,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",1,5,"AB","7126 A3",1.50012,24313.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",1,5,"LDH","7126 A3",1.50012,0.8111,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",1,6,"AB","7126 A3",5.0004,19979.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",1,6,"LDH","7126 A3",5.0004,0.2916,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",1,7,"AB","7126 A3",15.0012,514.666666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",1,7,"LDH","7126 A3",15.0012,0.00629999999999999,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",1,8,"AB","7126 A3",50.004,419.666666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",1,8,"LDH","7126 A3",50.004,0.00169999999999999,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",2,1,"AB","7126 A1",0.100932,23571.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",2,1,"LDH","7126 A1",0.100932,0.8751,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",2,2,"AB","7126 A1",0,26045.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",2,2,"LDH","7126 A1",0,1.1154,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",2,3,"AB","7126 A1",0.302796,25853.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",2,3,"LDH","7126 A1",0.302796,1.1735,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",2,4,"AB","7126 A1",1.00932,24174.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",2,4,"LDH","7126 A1",1.00932,1.1952,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",2,5,"AB","7126 A1",3.02796,26642.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",2,5,"LDH","7126 A1",3.02796,1.1895,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",2,6,"AB","7126 A1",10.0932,27387.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",2,6,"LDH","7126 A1",10.0932,1.1184,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",2,7,"AB","7126 A1",30.2796,25486.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",2,7,"LDH","7126 A1",30.2796,0.9858,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",2,8,"AB","7126 A1",100.932,27219.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",2,8,"LDH","7126 A1",100.932,0.8429,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",3,1,"AB","7126 A2",0.020072,25154.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",3,1,"LDH","7126 A2",0.020072,0.8334,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",3,2,"AB","7126 A2",0,26385.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",3,2,"LDH","7126 A2",0,1.131,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",3,3,"AB","7126 A2",0.060216,27715.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",3,3,"LDH","7126 A2",0.060216,1.5188,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",3,4,"AB","7126 A2",0.20072,25909.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",3,4,"LDH","7126 A2",0.20072,1.1222,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",3,5,"AB","7126 A2",0.60216,29231.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",3,5,"LDH","7126 A2",0.60216,0.9672,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",3,6,"AB","7126 A2",2.0072,5158.66666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",3,6,"LDH","7126 A2",2.0072,0.0678,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",3,7,"AB","7126 A2",6.0216,2460.66666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",3,7,"LDH","7126 A2",6.0216,0.0499,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",3,8,"AB","7126 A2",20.072,1705.66666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",3,8,"LDH","7126 A2",20.072,0.0509,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",4,1,"AB","7126 A6",0.025025,22992.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",4,1,"LDH","7126 A6",0.025025,0.8556,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",4,2,"AB","7126 A6",0,25265.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",4,2,"LDH","7126 A6",0,1.1059,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",4,3,"AB","7126 A6",0.075075,24435.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",4,3,"LDH","7126 A6",0.075075,1.0398,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",4,4,"AB","7126 A6",0.25025,25555.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",4,4,"LDH","7126 A6",0.25025,1.0822,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",4,5,"AB","7126 A6",0.75075,24652.6666666667,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
"20210915","MW75-9218",4,5,"LDH","7126 A6",0.75075,1.1094,"20210915_NFA_DNT_2021_Group 1_ Calculations.xlsx",1,""
