"date","Plate.SN","well","DIV","treatment","dose","units","file.name","meanfiringrate","burst.per.min","mean.isis","per.spikes.in.burst","mean.dur","mean.IBIs","nAE","nABE","ns.n","ns.peak.m","ns.durn.m","ns.percent.of.spikes.in.ns","ns.mean.insis","ns.durn.sd","ns.mean.spikes.in.ns","r","mi","wllq_by_well","wllq_notes_by_well"
"20210915","MW75-9217","A5",5,"7126 A1","3.028","uM","NFA_20210915_MW75-9217_05_00(000).h5",0.616489701344166,0,NA,0,NA,NA,6,0,0,NA,NA,0,NA,NA,NA,-9.84432729009082e-05,8.822398461273e-06,1,""
"20210915","MW75-9217","A5",7,"7126 A1","3.028","uM","NFA_20210915_MW75-9217_07_00(000).h5",1.08763349677095,0.62,0.0882412872269698,44.3115,1.632,36.69925,15,4,2,16,0.405416666666667,0.461517578390118,539.7,0.0489082190320693,34,0.0508182836544769,0.000527420008346213,1,""
"20210915","MW75-9217","A5",9,"7126 A1","3.028","uM","NFA_20210915_MW75-9217_09_00(000)(000).h5",1.17908632782453,1.245,0.0421711187934869,56.011,1.209,82.2422,16,5,5,16,0.845414668664669,4.14162837280547,204.8875,0.212849323805975,140.6,0.299633787328295,0.00774329991872857,1,""
"20210915","MW75-9217","A6",12,"7126 A1","10.09","uM","NFA_20210915_MW75-9217_12_00(000).h5",3.19396486321705,4.8,0.0170230848517465,89.591875,0.606875,14.9691875,16,16,56,15.875,0.305035076530612,17.9070728154284,16.0954545454545,0.0572807932893764,147.071428571429,0.494820131833958,0.03206926840765,1,""
"20210915","MW75-9217","A6",5,"7126 A1","10.09","uM","NFA_20210915_MW75-9217_05_00(000).h5",0.838011173482313,0.204,0.154579000000001,5.675,0.824,54.487,5,1,0,NA,NA,0,NA,NA,NA,0.000869853757348357,5.28991599775541e-06,1,""
"20210915","MW75-9217","A6",7,"7126 A1","10.09","uM","NFA_20210915_MW75-9217_07_00(000).h5",2.01756272911193,3.18,0.118885676157962,40.3508,1.9818,26.4464,10,5,2,15.5,0.359895833333334,0.834014717906787,487.8,0.0611352737900866,76.5,0.0323213039048306,0.000254597958261225,1,""
"20210915","MW75-9217","A6",9,"7126 A1","10.09","uM","NFA_20210915_MW75-9217_09_00(000)(000).h5",2.13533131361648,2.16375,0.0227518969787369,50.055625,0.933125,68.984875,16,16,10,16,0.561111832611832,4.33311646063761,88.2222222222222,0.123495997691183,133.2,0.195586443127609,0.0077444980186846,1,""
"20210915","MW75-9217","A7",12,"7126 A1","30.28","uM","NFA_20210915_MW75-9217_12_00(000).h5",2.58363491172767,4.616,0.0152473724534705,95.6517333333333,0.4436,12.7708666666667,15,15,71,15,0.306608545992349,25.4221738008544,12.2857142857143,0.0738054010421901,124.887323943662,0.554575996691739,0.0306695740635839,1,""
"20210915","MW75-9217","A7",5,"7126 A1","30.28","uM","NFA_20210915_MW75-9217_05_00(000).h5",0.956123859429237,0.21,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,-0.00248794836753064,0,1,""
"20210915","MW75-9217","A7",7,"7126 A1","30.28","uM","NFA_20210915_MW75-9217_07_00(000).h5",0.725372949474191,1.93,0.0519104864864871,87.118,0.306,5.396,6,1,1,16,0.215277777777778,1.29747581976881,NA,NA,55,0.00852747360986478,1.75205597815938e-05,1,""
"20210915","MW75-9217","A7",9,"7126 A1","30.28","uM","NFA_20210915_MW75-9217_09_00(000)(000).h5",0.619760116463443,0.6525,0.0283997868736446,68.577,0.90775,66.33025,16,4,7,16,0.509422402993832,11.2418740192782,134.15,0.0782443515835877,143.285714285714,0.503699025731867,0.00902287608256032,1,""
"20210915","MW75-9217","A8",12,"7126 A1","100.9","uM","NFA_20210915_MW75-9217_12_00(000).h5",0.854654525071474,1.935,0.0187616850663146,86.6236875,0.35075,29.4696875,16,16,30,16,0.239657162282162,30.0479401966361,28.4896551724138,0.0348603520974666,123.266666666667,0.466777649089716,0.0122073439998906,1,""
"20210915","MW75-9217","A8",5,"7126 A1","100.9","uM","NFA_20210915_MW75-9217_05_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20210915","MW75-9217","A8",7,"7126 A1","100.9","uM","NFA_20210915_MW75-9217_07_00(000).h5",0.387223599017241,0,NA,0,NA,NA,4,0,0,NA,NA,0,NA,NA,NA,-9.86181601268438e-05,0,1,""
"20210915","MW75-9217","A8",9,"7126 A1","100.9","uM","NFA_20210915_MW75-9217_09_00(000)(000).h5",0.303015726481851,0.392727272727273,NA,0,NA,NA,11,0,6,15.8333333333333,0.160181716431716,17.4757281553398,160.56,0.0288868205018366,96,0.150479921638811,0.000193798856194565,1,""
"20210915","MW75-9217","B1",12,"7126 A2","0.02007","uM","NFA_20210915_MW75-9217_12_00(000).h5",1.44472517588258,1.9125,0.0147235575535603,96.9876875,0.6020625,30.4218125,16,16,30,16,0.29839442039442,22.2697558161892,29.6672413793103,0.0642238020383651,154.433333333333,0.603441337876287,0.0226217322481341,1,""
"20210915","MW75-9217","B1",5,"7126 A2","0.02007","uM","NFA_20210915_MW75-9217_05_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20210915","MW75-9217","B1",7,"7126 A2","0.02007","uM","NFA_20210915_MW75-9217_07_00(000).h5",1.81778424101063,0.12,NA,0,NA,NA,3,0,0,NA,NA,0,NA,NA,NA,-0.000274048567814241,8.72378673920371e-06,1,""
"20210915","MW75-9217","B1",9,"7126 A2","0.02007","uM","NFA_20210915_MW75-9217_09_00(000)(000).h5",1.33308858944743,0.5025,0.0542042827246911,46.2323333333333,5.33,72.6286666666667,16,3,6,16,0.556701793576794,5.83606899067271,134.35,0.0598505024454611,186.666666666667,0.352678386194685,0.00752548683744155,1,""
"20210915","MW75-9217","B2",12,"DMSO","0","uM","NFA_20210915_MW75-9217_12_00(000).h5",1.99555963536637,3.6525,0.0159623071060733,91.444625,0.4690625,15.8788125,16,16,59,15.7118644067797,0.277319959936485,22.6962694877506,14.2396551724138,0.0877983592941336,110.542372881356,0.484869846020756,0.0230849373672736,1,""
"20210915","MW75-9217","B2",5,"DMSO","0","uM","NFA_20210915_MW75-9217_05_00(000).h5",0.136112925950124,0,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,-0.00134182473621098,0,1,""
"20210915","MW75-9217","B2",7,"DMSO","0","uM","NFA_20210915_MW75-9217_07_00(000).h5",0.703780280107663,0.234,0.120120888888888,4.575,0.901,51.418,10,1,1,15,0.210416666666666,1.78351783517835,NA,NA,116,0.0451015223503181,0.000179254447661194,1,""
"20210915","MW75-9217","B2",9,"DMSO","0","uM","NFA_20210915_MW75-9217_09_00(000)(000).h5",0.671154406028647,0.504,0.0309768589999529,50.80975,0.65575,62.816,15,4,3,16,0.572519841269841,3.69433754810335,261.05,0.00839862460845112,112,0.329059394286577,0.00511351942474113,1,""
"20210915","MW75-9217","B3",12,"7126 A2","0.06022","uM","NFA_20210915_MW75-9217_12_00(000).h5",2.06722644855185,3.555,0.0229197116396957,84.325375,0.649,16.604375,16,16,49,15.4285714285714,0.249760429479817,15.9130610051062,17.5854166666667,0.079758612608297,96.6734693877551,0.374490040118828,0.01870430202854,1,""
"20210915","MW75-9217","B3",5,"7126 A2","0.06022","uM","NFA_20210915_MW75-9217_05_00(000).h5",0.242503233376445,0.015,NA,0,NA,NA,4,0,0,NA,NA,0,NA,NA,NA,0.00262512973000369,0,1,""
"20210915","MW75-9217","B3",7,"7126 A2","0.06022","uM","NFA_20210915_MW75-9217_07_00(000).h5",0.826987067382589,1.08,0.124582160611977,35.132,1.4805,20.7695,14,2,3,16,0.323737373737374,4.05802597895136,413.275,0.00611356282733985,142.666666666667,0.131980242447939,0.000348971346425933,1,""
"20210915","MW75-9217","B3",9,"7126 A2","0.06022","uM","NFA_20210915_MW75-9217_09_00(000)(000).h5",1.01327514221612,0.5925,0.0214887601623147,51.5556,0.9872,70.4004,16,5,7,15.8571428571429,0.520458152958153,4.51772125865497,120.516666666667,0.25385550400949,94.1428571428571,0.370854270145124,0.009771489731192,1,""
"20210915","MW75-9217","B4",12,"7126 A2","0.2007","uM","NFA_20210915_MW75-9217_12_00(000).h5",1.66632285114894,3.15375,0.020959236659069,88.305125,0.57225,19.0525625,16,16,49,15.8163265306122,0.261843857672939,19.5832465096895,17.7895833333333,0.1067161515814,95.8979591836735,0.428348333255588,0.0186844478156302,1,""
"20210915","MW75-9217","B4",5,"7126 A2","0.2007","uM","NFA_20210915_MW75-9217_05_00(000).h5",0.0866678222376298,0.24,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,1,""
"20210915","MW75-9217","B4",7,"7126 A2","0.2007","uM","NFA_20210915_MW75-9217_07_00(000).h5",0.913033549371812,1.07454545454545,0.0905519306845544,19.528,0.729,16.6096666666667,11,3,3,15.6666666666667,0.281039862914863,3.78237780427008,353.875,0.0256641468977072,116.333333333333,0.125042868966352,0.000319946446654238,1,""
"20210915","MW75-9217","B4",9,"7126 A2","0.2007","uM","NFA_20210915_MW75-9217_09_00(000)(000).h5",1.14062165228582,0.844,0.0255844552473028,67.4478,0.9945,65.3453,15,10,8,14.875,0.558035141941392,5.78528441079402,112.257142857143,0.228357211515431,111.75,0.283131623342552,0.0080915227016894,1,""
