"date","Plate.SN","well","treatment","dose","units","wllq","wllq_notes","CCTE_Shafer_MEA_dev_firing_rate_mean","CCTE_Shafer_MEA_dev_burst_rate","CCTE_Shafer_MEA_dev_per_burst_interspike_interval","CCTE_Shafer_MEA_dev_per_burst_spike_percent","CCTE_Shafer_MEA_dev_burst_duration_mean","CCTE_Shafer_MEA_dev_interburst_interval_mean","CCTE_Shafer_MEA_dev_active_electrodes_number","CCTE_Shafer_MEA_dev_bursting_electrodes_number","CCTE_Shafer_MEA_dev_network_spike_number","CCTE_Shafer_MEA_dev_network_spike_peak","CCTE_Shafer_MEA_dev_spike_duration_mean","CCTE_Shafer_MEA_dev_per_network_spike_spike_percent","CCTE_Shafer_MEA_dev_inter_network_spike_interval_mean","CCTE_Shafer_MEA_dev_network_spike_duration_std","CCTE_Shafer_MEA_dev_per_network_spike_spike_number_mean","CCTE_Shafer_MEA_dev_correlation_coefficient_mean","CCTE_Shafer_MEA_dev_mutual_information_norm"
"20180815","MW1207-24","A1","1475827","0.03000","uM","1","",9.177771,16.778961,0.497777,264.550518,4.411161,169.167098,62.5,43,405,45.139216,0.501456,33.190019,230.951206,0.278213,158.175817,0.348473,0.012259
"20180815","MW1207-25","B1","1475827","0.03000","uM","1","",3.52176,5.53028,0.528177,275.249264,3.822486,387.831833,55,42.5,67.5,43.95,0.821818,48.34675,213.394173,0.18485,203.791667,0.631692,0.010432
"20180815","MW1207-26","C1","1475827","0.03000","uM","1","",9.952436,22.439286,0.493552,328.811344,4.856945,149.956409,69.5,52.5,106.5,47.169118,1.016168,22.142628,204.223773,0.351938,208.867647,0.535828,0.012243
"20180815","MW1207-26","A1","1475829","0.03000","uM","1","",13.022461,15.7115,0.470509,357.701082,56.164909,178.139327,67,54,97.5,48.9875,0.884516,24.146856,167.529808,0.288485,208.854167,0.608047,0.011678
"20180815","MW1207-24","B1","1475829","0.03000","uM","1","",3.13032,6.665893,0.159696,222.690335,1.608464,208.6995,41.5,41.5,93,44.130952,0.748735,47.279461,213.431264,0.25156,141.321429,0.564267,0.008077
"20180815","MW1207-25","C1","1475829","0.03000","uM","1","",7.774268,12.03,0.470585,291.008625,3.415813,262.364,29.5,26.5,52.5,44.341667,0.523935,34.880618,272.328409,0.135688,149.991667,0.691681,0.002914
"20180815","MW1207-25","A1","1475830","0.03000","uM","1","",10.719579,13.099,0.488671,193.008107,7.757607,177.6705,58.5,48,73,43.119658,0.794891,14.872908,209.015545,0.311219,177.880342,0.292911,0.006617
"20180815","MW1207-26","B1","1475830","0.03000","uM","1","",5.456955,9.504286,0.179693,250.910238,2.635429,164.603107,76.5,58.5,103.5,50.879552,0.786291,30.987397,145.721591,0.29496,181.376751,0.67856,0.010041
"20180815","MW1207-24","C1","1475830","0.03000","uM","1","",4.20327,4.776,0.196582,171.994133,4.080067,247.678933,42.5,30,52.5,44.311111,0.598489,22.413897,327.164309,0.254372,125.741667,0.227033,0.00351
"20180815","MW1207-24","D1","1475831","0.03000","uM","1","",8.013422,14.309489,0.388408,260.34926,3.952139,288.422965,59.5,50.5,375,52.145652,0.522952,35.746859,188.154714,0.271173,165.550362,0.542852,0.014228
"20180815","MW1207-25","E1","1475831","0.03000","uM","1","",9.023695,9.713571,0.429844,245.184238,5.306714,259.784643,40,38,87,51.35307,0.555297,61.833929,225.141216,0.110523,177.592105,0.723847,0.007703
"20180815","MW1207-26","F1","1475831","0.03000","uM","1","",10.410776,20.202917,0.481603,303.406323,4.370198,129.562792,84.5,67.5,402,48.942057,0.997877,38.920259,63.447998,0.443656,138.773105,0.562188,0.019938
"20180815","MW1207-26","D1","1475833","0.03000","uM","1","",7.201946,16.009,0.319713,379.547996,2.984766,188.259258,53.5,47.5,85,59.075893,1.195195,29.951354,205.906141,0.243646,171.002232,0.536177,0.007971
"20180815","MW1207-24","E1","1475833","0.03000","uM","1","",7.995122,14.829857,0.267363,192.210036,3.342643,155.168214,67.5,56,91.5,49.458333,0.786217,20.781859,182.559643,0.252986,169.625,0.338188,0.006722
"20180815","MW1207-25","F1","1475833","0.03000","uM","1","",7.976408,12.787143,0.577703,191.767357,4.908929,331.642929,35,25,67,35.464286,0.573303,15.756048,270.163889,0.118503,98.267857,0.307728,0.003826
"20180815","MW1207-25","D1","1475836","0.03000","uM","1","",5.007296,5.187857,0.226827,193.7565,3.134,161.62275,42,28,69.5,48.513975,0.49115,33.904907,223.184178,0.147239,121.967391,0.414714,0.003674
"20180815","MW1207-26","E1","1475836","0.03000","uM","1","",7.30253,14.674568,0.37532,239.9645,2.7083,297.95135,64,51.5,170,46.688095,0.617262,30.928422,180.93589,0.241121,147.030952,0.405807,0.008136
"20180815","MW1207-24","F1","1475836","0.03000","uM","1","",6.584819,14.8725,0.495031,258.420955,3.552968,200.858692,52,36.5,146.5,50.041528,0.491513,28.958204,316.711275,0.186635,158.539867,0.439236,0.010928
"20180801","MW1207-21","A3","1475812","0.10000","uM","0","Fungal contamination; ",8.053536,12.028125,0.420914,328.769661,6.729978,164.864616,88,63,106.5,54.659091,1.221875,21.494034,132.724702,0.273245,178.522727,0.325273,0.009836
"20180801","MW1207-22","A3","1475812","0.10000","uM","1","",7.732683,9.483482,0.16162,218.837579,3.234029,168.921993,71.5,57.5,106,56.656433,1.365307,20.406594,1450.216773,0.574448,188.53655,0.399411,0.01348
"20180801","MW1207-23","A3","1475812","0.10000","uM","1","",7.961272,15.772817,0.372547,339.900875,4.841688,195.247344,69,53,88,39.178571,0.683876,19.837655,230.225745,0.196508,183.964286,0.246832,0.007208
