"date","Plate.SN","well","DIV","trt","dose","units","file.name","meanfiringrate","burst.per.min","mean.isis","per.spikes.in.burst","mean.dur","mean.IBIs","nAE","nABE","ns.n","ns.peak.m","ns.durn.m","ns.percent.of.spikes.in.ns","ns.mean.insis","ns.durn.sd","ns.mean.spikes.in.ns","r","mi","wllq","wllq_notes"
"20180801","MW1207-21","A1",12,"1475812",0.03,"uM","ON_20180801_MW1207-21_12_00(000).h5",2.72937742611327,4.815,0.0489596048552325,60.780375,1.4096875,31.064125,16,16,35,8.02857142857143,0.361214285714286,3.43739663638908,25.3617647058824,0.149943765719523,38.6,0.0501668928687258,0.00333860861869051,0,"Fungal contamination; "
"20180801","MW1207-21","A1",5,"1475812",0.03,"uM","ON_20180801_MW1207-21_05_00(000).h5",0.122253671299977,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,0,"Fungal contamination; "
"20180801","MW1207-21","A1",7,"1475812",0.03,"uM","ON_20180801_MW1207-21_07_00(000).h5",1.28813412577416,2.61,0.107526832475922,26.3718,0.6246,22.7366,10,5,3,9.33333333333333,0.135555555555556,0.377649987125569,131,0.0317360351324158,14.6666666666667,0.00580935898015866,4.4853801713312e-05,0,"Fungal contamination; "
"20180801","MW1207-21","A1",9,"1475812",0.03,"uM","ON_20180801_MW1207-21_09_00(000).h5",2.6348679243185,5.51454545454545,0.0633126229763467,45.8584,0.9044,36.3168,11,10,10,8.4,0.195172619047619,1.90119874780484,81.0611111111111,0.0749112980124951,49.8,0.0210097302837097,0.00109583446568218,0,"Fungal contamination; "
"20180801","MW1207-21","A2",12,"1475812",0,"uM","ON_20180801_MW1207-21_12_00(000).h5",1.83592755786153,3.34,0.0536193483102503,63.994,1.06006666666667,27.6743333333333,15,15,27,10.3703703703704,0.317340167548501,4.36357781177039,29.2846153846154,0.120016420033707,40.1481481481481,0.108584195319246,0.00372174737401785,0,"Fungal contamination; "
"20180801","MW1207-21","A2",5,"1475812",0,"uM","ON_20180801_MW1207-21_05_00(000).h5",3.74346298505589,4.71,0.133500629223317,80.077,4.43,1.974,4,2,0,NA,NA,0,NA,NA,NA,0.00313223677110046,5.03446059986941e-06,0,"Fungal contamination; "
"20180801","MW1207-21","A2",7,"1475812",0,"uM","ON_20180801_MW1207-21_07_00(000).h5",1.0843527071017,1.818,0.0955253290725101,22.11175,0.617,37.46375,10,4,7,8.28571428571429,0.132665816326531,0.962220196495493,133.658333333333,0.0410692425845358,13.5714285714286,0.0141657215558544,3.55047737195987e-05,0,"Fungal contamination; "
"20180801","MW1207-21","A2",9,"1475812",0,"uM","ON_20180801_MW1207-21_09_00(000).h5",1.42334383444785,3.04,0.0520817121526257,51.4574,0.6761,47.3875,15,10,16,9.1875,0.17725818452381,3.854155830646,51.1633333333333,0.0443436665788975,46.3125,0.0720650196103052,0.00125520434389284,0,"Fungal contamination; "
"20180801","MW1207-21","A3",12,"1475812",0.1,"uM","ON_20180801_MW1207-21_12_00(000).h5",1.51632079228515,2.71875,0.0401932314072248,66.81725,0.8204375,26.763625,16,16,33,10.3636363636364,0.31227873977874,7.44217998626059,25.3125,0.103961401253314,49.2424242424242,0.114298360526475,0.00412790302445842,0,"Fungal contamination; "
"20180801","MW1207-21","A3",5,"1475812",0.1,"uM","ON_20180801_MW1207-21_05_00(000).h5",0.16448675774906,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,0,"Fungal contamination; "
"20180801","MW1207-21","A3",7,"1475812",0.1,"uM","ON_20180801_MW1207-21_07_00(000).h5",0.988443586117998,1.69,0.112609894893802,59.271,1.5585,6.862,12,2,1,7,0.16,0.093214019388516,NA,NA,10,0.00168210066774109,1.52068542140157e-05,0,"Fungal contamination; "
"20180801","MW1207-21","A3",9,"1475812",0.1,"uM","ON_20180801_MW1207-21_09_00(000).h5",1.35638037744338,1.828,0.0541618083159098,44.0007142857143,0.952928571428571,44.3980714285714,15,14,22,10.0454545454545,0.173382936507936,4.05773420479303,37.902380952381,0.0469210511672211,33.8636363636364,0.0601843116432211,0.00144558688581495,0,"Fungal contamination; "
"20180801","MW1207-21","A4",12,"1475812",0.3,"uM","ON_20180801_MW1207-21_12_00(000).h5",0.765695125062333,1.83375,0.0357783768622421,70.5929333333333,0.4842,33.7069333333333,16,15,36,7,0.2575,11.6724106656993,24.0171428571429,0.0769681571964811,35.75,0.0895315436746436,0.0020071222039534,0,"Fungal contamination; "
"20180801","MW1207-21","A4",5,"1475812",0.3,"uM","ON_20180801_MW1207-21_05_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,"Fungal contamination; "
"20180801","MW1207-21","A4",7,"1475812",0.3,"uM","ON_20180801_MW1207-21_07_00(000).h5",0.431859567742795,0.16,NA,0,NA,NA,3,0,0,NA,NA,0,NA,NA,NA,0.00178899571503958,9.208070571462e-06,0,"Fungal contamination; "
"20180801","MW1207-21","A4",9,"1475812",0.3,"uM","ON_20180801_MW1207-21_09_00(000).h5",0.920092258321687,1.33384615384615,0.0437408456607345,46.5700833333333,0.480916666666667,86.1629166666667,13,12,8,9.125,0.208229166666667,2.52502065925994,115.642857142857,0.05888251266394,34.375,0.0485085733644924,0.000885519190439976,0,"Fungal contamination; "
"20180801","MW1207-21","A5",12,"1475812",1,"uM","ON_20180801_MW1207-21_12_00(000).h5",1.36347343419861,3.10125,0.0395197267759903,69.0312666666667,0.596866666666667,27.791,16,15,28,9.25,0.233985969387755,6.09147397371906,32.3555555555556,0.0826185020016121,42.7142857142857,0.102099953458123,0.00283151103631055,0,"Fungal contamination; "
"20180801","MW1207-21","A5",5,"1475812",1,"uM","ON_20180801_MW1207-21_05_00(000).h5",0.136701832453611,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,0,"Fungal contamination; "
"20180801","MW1207-21","A5",7,"1475812",1,"uM","ON_20180801_MW1207-21_07_00(000).h5",0.240251206068462,0.0733333333333333,NA,0,NA,NA,9,0,0,NA,NA,0,NA,NA,NA,0.00836914092947558,7.4483022254497e-06,0,"Fungal contamination; "
"20180801","MW1207-21","A5",9,"1475812",1,"uM","ON_20180801_MW1207-21_09_00(000).h5",1.65945668754712,3.03,0.0809782903959938,34.0822,0.8462,34.5434,14,10,11,9.45454545454546,0.153550685425686,2.05313435673209,60.415,0.0413607021326387,39.2727272727273,0.0353571539077269,0.000309242265912491,0,"Fungal contamination; "
"20180801","MW1207-21","A6",12,"1475812",3,"uM","ON_20180801_MW1207-21_12_00(000).h5",1.40859384467601,2.748,0.0402218673987922,60.9476,0.610066666666667,27.5241333333333,15,15,29,10,0.279879926108374,6.90760098755056,31.5553571428571,0.103704017071464,45.3448275862069,0.110778369772988,0.00345580668031931,0,"Fungal contamination; "
"20180801","MW1207-21","A6",5,"1475812",3,"uM","ON_20180801_MW1207-21_05_00(000).h5",0.484569097152636,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,0,"Fungal contamination; "
"20180801","MW1207-21","A6",7,"1475812",3,"uM","ON_20180801_MW1207-21_07_00(000).h5",0.586121583150063,0.945,0.0754846874999995,26.347,0.339,15.261,4,2,0,NA,NA,0,NA,NA,NA,0.00397644887821439,1.04526348478767e-06,0,"Fungal contamination; "
"20180801","MW1207-21","A6",9,"1475812",3,"uM","ON_20180801_MW1207-21_09_00(000).h5",0.889451006616315,1.67142857142857,0.0399745440833136,40.353,0.44025,79.2011666666667,14,12,8,12,0.148233112373737,4.00783754898468,109.157142857143,0.02108486175653,56.25,0.0765358251384046,0.000856658590855791,0,"Fungal contamination; "
"20180801","MW1207-21","A7",12,"1475812",10,"uM","ON_20180801_MW1207-21_12_00(000).h5",1.25429741122733,2.208,0.0353394351405347,71.6958,0.635533333333333,29.5488,15,15,34,8.44117647058824,0.313608193277311,8.87472709034047,26.2469696969697,0.0982845883050134,44.2352941176471,0.113114583324941,0.00362980943136895,0,"Fungal contamination; "
"20180801","MW1207-21","A7",5,"1475812",10,"uM","ON_20180801_MW1207-21_05_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,"Fungal contamination; "
"20180801","MW1207-21","A7",7,"1475812",10,"uM","ON_20180801_MW1207-21_07_00(000).h5",0.529824281008635,0.06,NA,0,NA,NA,6,0,0,NA,NA,0,NA,NA,NA,0.00454195759369903,1.02065834890752e-06,0,"Fungal contamination; "
"20180801","MW1207-21","A7",9,"1475812",10,"uM","ON_20180801_MW1207-21_09_00(000).h5",0.535003947140232,1.10571428571429,0.0380419434403312,57.9674545454545,0.399818181818182,87.4976363636364,14,11,14,7.64285714285714,0.187380952380952,6.56342182890855,63.1884615384615,0.0502427809191856,31.7857142857143,0.0692623111778735,6.91242432731415e-05,0,"Fungal contamination; "
"20180801","MW1207-21","A8",12,"1475812",30,"uM","ON_20180801_MW1207-21_12_00(000).h5",0.739402366648258,1.27846153846154,0.0368909029464884,64.9104545454545,0.518909090909091,61.3009090909091,13,11,11,6.45454545454545,0.183863636363636,4.52054794520548,83.265,0.0658449596561591,36,0.0477719724895264,0.00110660345831173,0,"Fungal contamination; "
"20180801","MW1207-21","A8",5,"1475812",30,"uM","ON_20180801_MW1207-21_05_00(000).h5",0.786869084367125,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,0,"Fungal contamination; "
"20180801","MW1207-21","A8",7,"1475812",30,"uM","ON_20180801_MW1207-21_07_00(000).h5",2.78027189641344,0.816,0.0990236104220048,53.637,24.711,11.9735,5,2,1,9,0.09375,0.118623962040332,NA,NA,15,0.00522181861738398,1.56850917834295e-05,0,"Fungal contamination; "
"20180801","MW1207-21","A8",9,"1475812",30,"uM","ON_20180801_MW1207-21_09_00(000).h5",1.42245493900088,3.06,0.0837698186020856,52.211,1.013,27.7342,10,5,8,6.375,0.152291666666667,1.62241887905605,120.114285714286,0.0328287705313979,26.125,0.0429566053995009,3.35468127801904e-05,0,"Fungal contamination; "
"20180801","MW1207-21","B1",12,"1475816",0.03,"uM","ON_20180801_MW1207-21_12_00(000).h5",1.64170516299718,2.76,0.0321814022546668,76.5492,0.801933333333333,27.8193333333333,15,15,29,9.48275862068965,0.277997400109469,6.1302509669875,30.4017857142857,0.114199235355139,47,0.133573991774411,0.00354651881608317,0,"Fungal contamination; "
"20180801","MW1207-21","B1",5,"1475816",0.03,"uM","ON_20180801_MW1207-21_05_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,"Fungal contamination; "
"20180801","MW1207-21","B1",7,"1475816",0.03,"uM","ON_20180801_MW1207-21_07_00(000).h5",0.273060434235314,0.4575,0.041540516957238,54.186,0.246,34.862,8,2,0,NA,NA,0,NA,NA,NA,0.00925892612775908,7.51337871136848e-06,0,"Fungal contamination; "
