"date","Plate.SN","DIV","well","trt","dose","units","meanfiringrate","burst.per.min","mean.isis","per.spikes.in.burst","mean.dur","mean.IBIs","nAE","nABE","ns.n","ns.peak.m","ns.durn.m","ns.percent.of.spikes.in.ns","ns.mean.insis","ns.durn.sd","ns.mean.spikes.in.ns","r","file.name"
"20191030","MW70-2505","5","A1","68","0.03","uM",1.19456811566907,0.16,0.118269257142857,42.299,5.913,63.534,6,1,0,NA,NA,0,NA,NA,NA,-9.5764946345668e-05,"NFA_20191030_MW70-2505_05_00_000.h5"
"20191030","MW70-2505","5","A2","68","0","uM",1.86313388405539,3.108,0.11470824240982,47.0315,1.3835,27.348,5,2,1,9,0.12625,0.161681487469685,NA,NA,14,0.00417569253393113,"NFA_20191030_MW70-2505_05_00_000.h5"
"20191030","MW70-2505","5","A3","68","0.1","uM",2.10575328419037,0.708,0.111992076913596,48.6655,14.707,29.437,5,3,0,NA,NA,0,NA,NA,NA,0.00494455384354854,"NFA_20191030_MW70-2505_05_00_000.h5"
"20191030","MW70-2505","5","A5","68","1","uM",0.928351635511981,0.945,0.0633010101010094,13.735,0.3865,58.183,4,2,1,5,0.3375,0.358818658570246,NA,NA,13,0.00594872060228697,"NFA_20191030_MW70-2505_05_00_000.h5"
"20191030","MW70-2505","5","A6","68","3","uM",1.36263600201594,0.336,0.0703002232396325,11.052,0.658666666666667,106.350333333333,5,3,0,NA,NA,0,NA,NA,NA,0.00155138718320418,"NFA_20191030_MW70-2505_05_00_000.h5"
"20191030","MW70-2505","5","A7","68","10","uM",1.12263244447002,5.92,0.0644710610551269,81.781,0.41,40.8625,3,2,0,NA,NA,0,NA,NA,NA,-0.000233885929447182,"NFA_20191030_MW70-2505_05_00_000.h5"
"20191030","MW70-2505","5","B1","69","0.03","uM",1.23889211509475,0.06,NA,0,NA,NA,3,0,0,NA,NA,0,NA,NA,NA,-0.000853546955881355,"NFA_20191030_MW70-2505_05_00_000.h5"
"20191030","MW70-2505","5","B2","69","0","uM",0.652652725969562,0.228,0.113955789473684,8.571,1.332,69.834,5,2,0,NA,NA,0,NA,NA,NA,0.00190696889169101,"NFA_20191030_MW70-2505_05_00_000.h5"
"20191030","MW70-2505","5","B3","69","0.1","uM",0.736795662584208,0.54,0.0798894117647042,6.213,0.34,99.904,1,1,0,NA,NA,0,NA,NA,NA,0,"NFA_20191030_MW70-2505_05_00_000.h5"
"20191030","MW70-2505","5","B4","69","0.3","uM",0.493584583768373,0.325714285714286,0.0672685841694551,29.1905,0.4315,97.5565,7,2,0,NA,NA,0,NA,NA,NA,0.006734811380899,"NFA_20191030_MW70-2505_05_00_000.h5"
"20191030","MW70-2505","5","B5","69","1","uM",0.312084553333252,0.05,NA,0,NA,NA,6,0,0,NA,NA,0,NA,NA,NA,0.00366741213133685,"NFA_20191030_MW70-2505_05_00_000.h5"
