"date","Plate.SN","DIV","well","trt","dose","units","meanfiringrate","burst.per.min","mean.isis","per.spikes.in.burst","mean.dur","mean.IBIs","nAE","nABE","ns.n","ns.peak.m","ns.durn.m","ns.percent.of.spikes.in.ns","ns.mean.insis","ns.durn.sd","ns.mean.spikes.in.ns","r","file.name"
"20191113","MW70-2602","5","A1","94","0.03","uM",1.29039961942841,0.16,NA,0,NA,NA,3,0,0,NA,NA,0,NA,NA,NA,0.00343236793563112,"NFA_20191113_MW70-2602_05_00_000.h5"
"20191113","MW70-2602","5","A2","94","0","uM",0.335563161653886,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20191113_MW70-2602_05_00_000.h5"
"20191113","MW70-2602","5","A3","94","0.1","uM",0.238060951603792,0,NA,0,NA,NA,4,0,0,NA,NA,0,NA,NA,NA,0.000922360971922362,"NFA_20191113_MW70-2602_05_00_000.h5"
"20191113","MW70-2602","5","A4","94","0.3","uM",0.083335222265038,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20191113_MW70-2602_05_00_000.h5"
"20191113","MW70-2602","5","A5","94","1","uM",0.698904730729452,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20191113_MW70-2602_05_00_000.h5"
"20191113","MW70-2602","5","A6","94","3","uM",0.229634834685882,0,NA,0,NA,NA,3,0,0,NA,NA,0,NA,NA,NA,-0.000865110376118621,"NFA_20191113_MW70-2602_05_00_000.h5"
"20191113","MW70-2602","5","B1","97","0.03","uM",0.384453158716042,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20191113_MW70-2602_05_00_000.h5"
"20191113","MW70-2602","5","B2","97","0","uM",0.37945304538014,0.12,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,-0.00336368530763078,"NFA_20191113_MW70-2602_05_00_000.h5"
"20191113","MW70-2602","5","B3","97","0.1","uM",0.166670444530076,0.2,0.0646063157894748,62.264,0.409,98.883,3,1,0,NA,NA,0,NA,NA,NA,0.00332216539177889,"NFA_20191113_MW70-2602_05_00_000.h5"
"20191113","MW70-2602","5","B4","97","0.29","uM",1.04169027831298,0.105,NA,0,NA,NA,4,0,0,NA,NA,0,NA,NA,NA,-0.000880351726351961,"NFA_20191113_MW70-2602_05_00_000.h5"
"20191113","MW70-2602","5","B5","97","0.95","uM",0.774832377682042,4.62,0.0682291604691593,51.111,0.3395,15.852,3,2,0,NA,NA,0,NA,NA,NA,-0.00276677262218776,"NFA_20191113_MW70-2602_05_00_000.h5"
"20191113","MW70-2602","5","B6","97","2.85","uM",0.775573135213287,0.03,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,-0.00148760891408278,"NFA_20191113_MW70-2602_05_00_000.h5"
"20191113","MW70-2602","5","B7","97","9.51","uM",0.290839925704983,0.465,0.0540755581127738,30.8025,0.2735,63.1465,4,2,0,NA,NA,0,NA,NA,NA,-0.000548075064237424,"NFA_20191113_MW70-2602_05_00_000.h5"
