"date","Plate.SN","DIV","well","trt","dose","units","meanfiringrate","burst.per.min","mean.isis","per.spikes.in.burst","mean.dur","mean.IBIs","nAE","nABE","ns.n","ns.peak.m","ns.durn.m","ns.percent.of.spikes.in.ns","ns.mean.insis","ns.durn.sd","ns.mean.spikes.in.ns","r","file.name"
"20191113","MW70-2517","5","A3","82","0.1","uM",1.32929854916177,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20191113_MW70-2517_05_00_000.h5"
"20191113","MW70-2517","5","A4","82","0.29","uM",0.185242272737148,0,NA,0,NA,NA,3,0,0,NA,NA,0,NA,NA,NA,5.39997652663396e-05,"NFA_20191113_MW70-2517_05_00_000.h5"
"20191113","MW70-2517","5","A5","82","0.97","uM",0.350107895473209,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20191113_MW70-2517_05_00_000.h5"
"20191113","MW70-2517","5","A6","82","2.91","uM",0.088916290913831,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20191113_MW70-2517_05_00_000.h5"
"20191113","MW70-2517","5","B1","83","0.03","uM",1.17480649369899,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20191113_MW70-2517_05_00_000.h5"
"20191113","MW70-2517","5","B2","83","0","uM",0.263414511832224,0,NA,0,NA,NA,3,0,0,NA,NA,0,NA,NA,NA,-0.00186620901517179,"NFA_20191113_MW70-2517_05_00_000.h5"
"20191113","MW70-2517","5","B3","83","0.1","uM",0.551651488211226,0.56,0.057006732673269,13.873,0.24,36.196,3,1,0,NA,NA,0,NA,NA,NA,0.002670983892056,"NFA_20191113_MW70-2517_05_00_000.h5"
"20191113","MW70-2517","5","B5","83","1","uM",0.352330802746055,0,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,-0.00331607941153467,"NFA_20191113_MW70-2517_05_00_000.h5"
"20191113","MW70-2517","5","B6","83","3","uM",0.536832106392254,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20191113_MW70-2517_05_00_000.h5"
"20191113","MW70-2517","5","B7","83","10","uM",0.320376510698897,0.03,NA,0,NA,NA,4,0,0,NA,NA,0,NA,NA,NA,0.00211720825636146,"NFA_20191113_MW70-2517_05_00_000.h5"
"20191113","MW70-2517","5","B8","83","30","uM",0.204507469101811,0,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,-0.00178739742728754,"NFA_20191113_MW70-2517_05_00_000.h5"
"20191113","MW70-2517","5","C1","84","0.03","uM",0.171719586827336,0,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,-0.00147495159506105,"NFA_20191113_MW70-2517_05_00_000.h5"
"20191113","MW70-2517","5","C3","84","0.1","uM",0.345662080927518,3.06,0.0235057777777789,87.138,0.115,19.291,1,1,0,NA,NA,0,NA,NA,NA,0,"NFA_20191113_MW70-2517_05_00_000.h5"
