"date","Plate.SN","DIV","well","trt","dose","units","meanfiringrate","burst.per.min","mean.isis","per.spikes.in.burst","mean.dur","mean.IBIs","nAE","nABE","ns.n","ns.peak.m","ns.durn.m","ns.percent.of.spikes.in.ns","ns.mean.insis","ns.durn.sd","ns.mean.spikes.in.ns","r","file.name"
"20191113","MW70-2520","5","A1","93","0.03","uM",0.487663209434441,1.68,0.0760402312138731,81.314,0.526,1.894,2,1,0,NA,NA,0,NA,NA,NA,-0.000255667156810887,"NFA_20191113_MW70-2520_05_00_000.h5"
"20191113","MW70-2520","5","A2","93","0","uM",0.176625171526369,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20191113_MW70-2520_05_00_000.h5"
"20191113","MW70-2520","5","A3","93","0.1","uM",0.341030991563493,0.12,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,-3.19453394172491e-05,"NFA_20191113_MW70-2520_05_00_000.h5"
"20191113","MW70-2520","5","A4","93","0.3","uM",0.773151694228636,0.18,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20191113_MW70-2520_05_00_000.h5"
"20191113","MW70-2520","5","A5","93","1","uM",0.35713831852659,0,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,-0.00352435577326308,"NFA_20191113_MW70-2520_05_00_000.h5"
"20191113","MW70-2520","5","A6","93","3","uM",0.145521367735562,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20191113_MW70-2520_05_00_000.h5"
"20191113","MW70-2520","5","A7","93","10","uM",5.21210883523098,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20191113_MW70-2520_05_00_000.h5"
"20191113","MW70-2520","5","A8","93","30","uM",0.226613427618738,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20191113_MW70-2520_05_00_000.h5"
"20191113","MW70-2520","5","B1","94","0.03","uM",0.216060351332571,0,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,-0.00176633053344525,"NFA_20191113_MW70-2520_05_00_000.h5"
"20191113","MW70-2520","5","B4","94","0.3","uM",0.299374111486519,0,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,-0.00210148180276226,"NFA_20191113_MW70-2520_05_00_000.h5"
"20191113","MW70-2520","5","B5","94","1","uM",0.352139492917353,0,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,0.00314096450676703,"NFA_20191113_MW70-2520_05_00_000.h5"
"20191113","MW70-2520","5","B6","94","3","uM",0.397684348468178,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20191113_MW70-2520_05_00_000.h5"
"20191113","MW70-2520","5","C1","97","0.03","uM",0.393611231305096,0.28,NA,0,NA,NA,3,0,0,NA,NA,0,NA,NA,NA,-0.000106656526036264,"NFA_20191113_MW70-2520_05_00_000.h5"
"20191113","MW70-2520","5","C2","97","0","uM",0.349917792646581,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20191113_MW70-2520_05_00_000.h5"
"20191113","MW70-2520","5","C3","97","0.1","uM",0.416568800769739,1.32,0.0464324848484858,49.333,0.383,45.54,1,1,0,NA,NA,0,NA,NA,NA,0,"NFA_20191113_MW70-2520_05_00_000.h5"
"20191113","MW70-2520","5","C4","97","0.29","uM",0.262716057018782,0,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,-0.00213514719368671,"NFA_20191113_MW70-2520_05_00_000.h5"
"20191113","MW70-2520","5","C6","97","2.85","uM",4.22678476514362,2.58,0.151377058823529,8.173,1.056,18.521,1,1,0,NA,NA,0,NA,NA,NA,0,"NFA_20191113_MW70-2520_05_00_000.h5"
