"date","Plate.SN","DIV","well","trt","dose","units","meanfiringrate","burst.per.min","mean.isis","per.spikes.in.burst","mean.dur","mean.IBIs","nAE","nABE","ns.n","ns.peak.m","ns.durn.m","ns.percent.of.spikes.in.ns","ns.mean.insis","ns.durn.sd","ns.mean.spikes.in.ns","r","file.name"
"20190904","MW69-3814","5","A1","25","0.03","uM",0.185774169071369,0.2,NA,0,NA,NA,3,0,0,NA,NA,0,NA,NA,NA,0.0178572141001895,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","A2","25","0","uM",1.28950217555615,5.97,0.0374863569682147,49.405,0.171,4.812,2,1,0,NA,NA,0,NA,NA,NA,-0.00197456732170838,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","A3","25","0.1","uM",0.140625865034104,0,NA,0,NA,NA,3,0,0,NA,NA,0,NA,NA,NA,-0.00138826615304958,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","A4","25","0.3","uM",0.227591860515721,0.18,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","A5","25","1","uM",1.99392673895724,0.36,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","A6","25","3","uM",0.291428601879887,0,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,0.00144744290076461,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","A7","25","10","uM",2.40914310887373,2.46,0.158380363636363,11.843,0.942,23.05,1,1,0,NA,NA,0,NA,NA,NA,0,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","B1","23","0.03","uM",3.38917586433838,0.24,0.111354285714284,5.219,1.169,77.741,4,1,0,NA,NA,0,NA,NA,NA,-0.00212919515901124,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","B2","23","0","uM",0.563983732399933,0.195,NA,0,NA,NA,4,0,0,NA,NA,0,NA,NA,NA,0.0119046631563488,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","B3","23","0.1","uM",1.01435656857494,1.26,0.0977945454545436,46.603,0.5465,38.798,3,2,0,NA,NA,0,NA,NA,NA,0.0159500842932976,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","B4","23","0.3","uM",0.402560042063417,0.324,0.0902727220007259,48.7415,0.7155,97.5745,5,2,0,NA,NA,0,NA,NA,NA,0.00647763089282271,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","B5","23","1","uM",0.140440831001164,0.33,0.055458360655737,75.532,0.338,96.217,4,1,0,NA,NA,0,NA,NA,NA,0.0175857164688817,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","B6","23","3","uM",0.157093893965729,0.42,0.0217168253968262,73.016,0.228,71.025,2,2,0,NA,NA,0,NA,NA,NA,0.0148445595399327,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","B7","23","10","uM",4.63843313773016,1.53,0.1128637182473,54.4,13.3045,27.3425,2,2,0,NA,NA,0,NA,NA,NA,0.000280036898654334,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","C1","24","0.03","uM",2.1656383215252,9.24,0.134628663620788,58.9985,1.009,12.1705,3,2,0,NA,NA,0,NA,NA,NA,0.00396361032663717,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","C2","24","0","uM",0.539004137953085,0.26,0.0487989610389603,29.927,0.752,91.697,6,1,3,12,0.280753968253968,2.07939508506616,284.8,0.0929869425016898,22,0.0306599450206766,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","C3","24","0.1","uM",0.436310249671602,1.185,0.119311443478261,49.006,1.039,12.751,4,1,0,NA,NA,0,NA,NA,NA,0.000974745227415857,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","C4","24","0.3","uM",0.222040839527533,0.36,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","C5","24","1","uM",0.187624509400765,0.12,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","D1","29","0.03","uM",0.603729042675361,0.54,0.0452937238493721,47.128,0.271,22.179,5,1,0,NA,NA,0,NA,NA,NA,-0.00086102675299786,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","D2","29","0","uM",0.514024543506238,0.12,NA,0,NA,NA,4,0,0,NA,NA,0,NA,NA,NA,0.00378335826620552,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","D3","29","0.1","uM",1.37054708198369,0,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,-0.00320909632017313,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","D4","29","0.3","uM",0.127118380629512,0.3,0.0647040000000003,74.107,0.607,65.317,2,1,0,NA,NA,0,NA,NA,NA,-0.00127249155691436,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","D5","29","1","uM",0.0943673567992014,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","E1","26","0.03","uM",0.57471570631043,0.22,NA,0,NA,NA,3,0,0,NA,NA,0,NA,NA,NA,0.00524458200783442,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","E2","26","0","uM",0.491265357454666,0.255,0.103277090909094,35.45,0.473,72.942,4,1,0,NA,NA,0,NA,NA,NA,0.00230263979839011,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","E3","26","0.1","uM",2.14558063235455,2.328,0.0787411113535633,60.9263333333333,1.14766666666667,28.9303333333333,5,3,0,NA,NA,0,NA,NA,NA,0.00773316102232741,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","E4","26","0.3","uM",0.570644957585759,0.87,0.046745568627451,70.674,0.954,30.12,2,1,0,NA,NA,0,NA,NA,NA,-0.0045547522720792,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","E7","26","10","uM",1.04026133318649,0.48,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","F1","27","0.03","uM",0.235918391998003,0.03,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,0.00374906731693728,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","F2","27","0","uM",0.457848211105772,0.492,0.0387000930562485,52.381,0.25325,94.699,5,5,0,NA,NA,0,NA,NA,NA,0.0350410957313333,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","F3","27","0.1","uM",0.396620449606055,0.945,0.0436250111584486,61.294,0.271,52.8835,4,3,0,NA,NA,0,NA,NA,NA,0.00880219850761738,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","F4","27","0.3","uM",0.296979622868075,0.36,0.0492098765432109,23.469,0.362,77.363,2,1,0,NA,NA,0,NA,NA,NA,0.0017170211885174,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","F5","27","1","uM",0.224538798972217,0.24,0.0563292307692317,21.212,0.266,86.134,4,1,0,NA,NA,0,NA,NA,NA,0.0056130746377251,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","F6","27","3","uM",0.253496625127266,0.44,0.030353777777777,19.77,0.21,68.716,3,1,0,NA,NA,0,NA,NA,NA,0.0118747972976077,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","5","F7","27","10","uM",0.276440845211778,1.68,0.0224395876288654,87.952,0.174,33.379,1,1,0,NA,NA,0,NA,NA,NA,0,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","05","A8","25","30","uM",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","05","B8","23","30","uM",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190904_MW69-3814_05_00_000.h5"
"20190904","MW69-3814","05","C6","24","3","uM",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190904_MW69-3814_05_00_000.h5"
