"date","Plate.SN","DIV","well","trt","dose","units","meanfiringrate","burst.per.min","mean.isis","per.spikes.in.burst","mean.dur","mean.IBIs","nAE","nABE","ns.n","ns.peak.m","ns.durn.m","ns.percent.of.spikes.in.ns","ns.mean.insis","ns.durn.sd","ns.mean.spikes.in.ns","r","file.name"
"20190918","MW70-2404","5","A2","36","0","uM",0.314015026262435,0,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,0.00528170822877593,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","5","A3","36","0.1","uM",0.35159417418059,0,NA,0,NA,NA,3,0,0,NA,NA,0,NA,NA,NA,-0.000676365951535075,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","5","A4","36","0.3","uM",0.233723968759255,0,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,0.00243388747408526,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","5","B1","37","0.03","uM",0.554338260021952,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","5","B2","37","0","uM",0.139684442505531,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","5","B5","37","0.96","uM",0.785312535031098,0.48,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","5","B8","37","28.71","uM",1.32535238755248,1.14,0.222609230769233,7.884,1.021,48.915,1,1,0,NA,NA,0,NA,NA,NA,0,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","5","D1","44","0.03","uM",0.252971825010018,0.06,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","5","D4","44","0.3","uM",0.0956893425037893,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","5","E5","46","1","uM",0.488345610019338,0.18,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","5","E6","46","3","uM",0.0912898325036151,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","5","F1","47","0.03","uM",0.112187505004443,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","5","F2","47","0","uM",0.317864597512587,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","5","F5","47","1","uM",0.0879902000034844,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","5","F7","47","10","uM",0.224375010008885,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","05","A1","36","0.03","uM",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","05","A5","36","1","uM",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","05","A6","36","3","uM",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","05","A7","36","10","uM",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","05","A8","36","30.01","uM",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","05","B3","37","0.1","uM",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","05","B4","37","0.29","uM",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","05","B6","37","2.87","uM",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","05","B7","37","9.57","uM",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","05","C1","40","0.03","uM",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","05","C2","40","0","uM",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","05","C3","40","0.1","uM",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","05","C4","40","0.3","uM",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","05","C5","40","1","uM",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","05","C6","40","3","uM",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","05","C7","40","10","uM",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","05","C8","40","30","uM",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","05","D2","44","0","uM",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","05","D3","44","0.1","uM",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","05","D5","44","1","uM",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","05","D6","44","3","uM",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190918_MW70-2404_05_00_000.h5"
"20190918","MW70-2404","05","D7","44","10","uM",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,"NFA_20190918_MW70-2404_05_00_000.h5"
