"date","plate.SN","well","treatment","dose","units","NHEERL_MEA_dev_firing_rate_mean","NHEERL_MEA_dev_burst_rate","NHEERL_MEA_dev_per_burst_interspike_interval","NHEERL_MEA_dev_per_burst_spike_percent","NHEERL_MEA_dev_burst_duration_mean","NHEERL_MEA_dev_interburst_interval_mean","NHEERL_MEA_dev_active_electrodes_number","NHEERL_MEA_dev_bursting_electrodes_number","NHEERL_MEA_dev_network_spike_number","NHEERL_MEA_dev_network_spike_peak","NHEERL_MEA_dev_spike_duration_mean","NHEERL_MEA_dev_per_network_spike_spike_percent","NHEERL_MEA_dev_per_network_spike_interspike_interval_mean","NHEERL_MEA_dev_network_spike_duration_std","NHEERL_MEA_dev_per_network_spike_spike_number_mean","NHEERL_MEA_dev_correlation_coefficient_mean","NHEERL_MEA_dev_mutual_information_norm"
"20140423","MW1007-38","F4","Sodium Orthovanadate","1.00000","uM",1.945317,5.096667,0.15231,213.844736,1.086771,174.166271,42.5,32.5,130,38.708929,0.438834,85.321298,112.589957,0.111228,108.342857,0.953604,0.006881
"20140205","MW1007-26","F5","Sodium Orthovanadate","1.00000","uM",14.297842,25.814196,0.25931,410.356205,5.206616,124.483254,104.5,92,499,78.538561,1.286408,81.384986,99.490709,0.620982,270.59038,1.516115,0.062764
"20140730","MW1007-104","F6","Sodium Orthovanadate","1.00000","uM",8.572497,18.869159,0.340934,360.063501,3.560333,159.608845,73,64.166667,441.25,62.671592,0.931489,94.850688,363.916773,0.313594,200.802551,1.350148,0.036452
"20140716","MW1007-26","F6","Sodium Orthovanadate","1.00000","uM",11.326578,19.188,0.549275,262.148592,5.87625,103.174117,73,54.5,509.5,45.414835,0.677435,52.172855,60.383239,0.22066,151.592033,0.582333,0.023853
"20140205","MW1007-26","A6","Acetaminophen","10.00000","uM",11.949445,20.750625,0.580119,439.431194,5.4239,245.14719,108.5,99,527.5,78.093168,1.214068,97.523505,99.794601,0.646677,275.765063,1.770839,0.063578
"20140212","MW1007-27","A6","Acetaminophen","10.00000","uM",12.127861,25.936607,0.767342,420.186467,6.81401,191.056172,76,63.5,508,51.207126,0.779326,65.501251,305.032169,0.367319,122.115942,0.693367,0.022198
"20140402","MW1007-27","A6","Acetaminophen","10.00000","uM",9.223148,17.031125,0.247307,660.667556,4.711521,326.51121,106.5,99,341,84.069132,1.151039,122.518742,125.420442,0.418452,457.600243,2.64944,0.090095
"20140423","MW1007-38","A6","Acetaminophen","10.00000","uM",5.528039,11.93035,0.164828,301.915806,1.492306,223.733056,53.5,42.5,319.5,55.989723,0.827178,125.154689,318.275657,0.229647,187.513947,1.360878,0.034909
"20140730","MW1007-104","A7","Bisindolymaleimide 1","10.00000","uM",0.325165,0.668182,0.080622,37.474375,1.165556,142.660556,6.875,5.625,17.5,25.089286,0.329537,13.977143,76.212963,0.082812,105.267857,0.126841,0
"20140205","MW1007-26","B7","Bisindolymaleimide 1","10.00000","uM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
