"date","Plate.SN","well","treatment","dose","units","wllq","wllq_notes","meanfiringrate_auc","burst.per.min_auc","mean.isis_auc","per.spikes.in.burst_auc","mean.dur_auc","mean.IBIs_auc","nAE_auc","nABE_auc","ns.n_auc","ns.peak.m_auc","ns.durn.m_auc","ns.percent.of.spikes.in.ns_auc","ns.mean.insis_auc","ns.durn.sd_auc","ns.mean.spikes.in.ns_auc","r_auc","mi_auc"
"20151209","MW1056-28","A8","Profenofos","3.00000","uM","1","",9.965487,29.455,0.347134,478.391225,2.69075,235.906575,90.5,86.5,781,75.413986,0.985978,163.581034,76.754976,0.409999,253.323712,2.002641,0.072143
"20160120","MW1092-5","D6","Tebupirimfos","3.00000","uM","1","",13.126143,21.976442,0.159455,482.5877,2.385867,186.474333,90,80,384,86.901144,1.494166,122.56512,173.549672,0.340666,378.553642,2.045557,0.067273
"20160120","MW1092-6","D7","Tebupirimfos","3.00000","uM","1","",7.766101,19.034148,0.199256,400.693429,2.098506,186.211801,62,50.5,588.5,51.707746,0.86035,103.111087,178.538814,0.391935,154.333029,1.289157,0.043232
"20160120","MW1092-29","D8","Tebupirimfos","3.00000","uM","1","",9.082936,19.125,0.158133,439.098385,2.517062,171.694219,96,77.5,352,78.566253,1.39982,108.720052,129.923529,0.40801,356.225155,1.778537,0.066454
"20160217","MW1105-20","D6","Terbufos","3.00000","uM","1","",15.385225,17.76544,0.577151,408.807473,8.31522,475.493496,82.5,75,343.5,71.200629,1.31678,69.362292,249.938497,0.500857,373.720869,1.303146,0.062715
"20160217","MW1105-23","D7","Terbufos","3.00000","uM","1","",7.284034,14.641846,0.280761,400.935909,3.953695,333.385769,67.5,52.5,370,64.079649,0.944421,86.625324,319.031687,0.240298,179.805168,1.0947,0.033049
"20160217","MW1105-26","D8","Terbufos","3.00000","uM","1","",9.544495,17.06075,0.291965,350.564549,4.063042,233.64447,81.5,75.5,412.5,75.498435,1.151766,61.396465,260.280067,0.442534,238.900235,1.081032,0.036857
"20160413","MW1125-3","C6","Tribufos","3.00000","uM","1","",11.772398,24.616875,0.274675,583.921017,3.694333,260.137723,121,114,425,106.344783,1.849714,103.440993,355.25571,0.751432,446.311341,2.228081,0.078607
"20160413","MW1125-4","C7","Tribufos","3.00000","uM","1","",14.284995,25.996875,0.262637,543.946712,4.072882,199.554697,106,92.5,676.5,83.659226,1.158834,98.163258,88.186616,0.536325,299.555717,1.963911,0.094098
"20160413","MW1125-5","C8","Tribufos","3.00000","uM","1","",9.595614,22.381518,0.306404,599.787457,3.599671,289.926954,111.5,97,359.5,109.240866,1.570877,107.707322,509.156101,0.393878,438.542304,1.890796,0.054456
"20160413","MW1125-3","A6","Trichlorfon","3.00000","uM","1","",10.962129,27.929196,0.41784,505.264217,3.826962,335.934339,117,93.5,999.5,101.110307,1.077818,150.116477,646.460167,0.46312,284.654455,1.94626,0.08143
"20160413","MW1125-4","A7","Trichlorfon","3.00000","uM","1","",6.735554,18.735375,0.289284,424.354673,2.402317,376.569924,104,88,714,115.506135,0.890539,207.690566,375.391162,0.262825,330.086264,2.02101,0.045969
"20160413","MW1125-5","A8","Trichlorfon","3.00000","uM","1","",9.932327,25.004087,0.245081,592.663421,2.694885,338.60176,105,95,580,99.335052,1.386294,116.860022,681.599505,0.482477,426.151339,1.979063,0.060905
"20160330","MW1117-22","E6","Z-tetrachlorvinphos","3.00000","uM","1","",8.196544,15.986667,0.195959,640.532327,4.539875,390.911654,118.5,109.5,256.5,130.017984,2.019756,170.657096,404.403777,0.313735,765.461913,3.213759,0.079774
"20160330","MW1117-23","E7","Z-tetrachlorvinphos","3.00000","uM","1","",10.437259,20.8925,0.287066,546.496673,3.877565,332.411352,109,101.5,276.5,106.243748,1.933506,116.850033,440.517279,0.38771,658.888329,2.453884,0.086491
"20160330","MW1117-24","E8","Z-tetrachlorvinphos","3.00000","uM","1","",13.516533,21.62,0.486708,632.845625,9.525531,190.784531,111,98.5,248.5,115.168254,2.043994,85.180535,446.141451,0.54368,572.722619,2.244923,0.075297
"20151209","MW1056-28","E6","Z-Tetrachlorvinphos","3.00000","uM","1","",11.208398,29.278154,0.386821,545.257231,3.408736,149.227426,93.5,81,605.5,74.846488,1.063607,139.356535,73.315347,0.426333,298.579031,1.991273,0.076249
"20151209","MW1056-29","E7","Z-Tetrachlorvinphos","3.00000","uM","1","",19.781879,48.408792,0.389125,581.66434,4.658877,157.926958,115,107.5,799,98.005124,1.94712,109.160838,282.044955,0.701347,385.47268,1.890678,0.093727
"20151209","MW1056-36","E8","Z-Tetrachlorvinphos","3.00000","uM","1","",15.416671,38.409625,0.297631,603.00184,3.109685,135.426256,109,96.5,733,84.670446,1.14543,134.896149,73.699474,0.499903,408.777389,2.155608,0.120239
"20151209","MW1056-29","D1","Acephate","30.00000","uM","1","",22.071577,50.652,0.152878,481.4021,2.70769,65.440698,104,94,1207,86.643602,1.263145,177.608441,41.761808,0.423639,477.558701,2.561412,0.170602
"20151209","MW1056-36","D2","Acephate","30.00000","uM","1","",13.466268,31.849018,0.327814,575.623454,3.607823,202.61726,113.5,101.5,923,82.531481,1.078556,146.59306,65.256885,0.42627,342.149249,2.206725,0.103175
"20151209","MW1056-28","D8","Acephate","30.00000","uM","1","",13.141717,28.066143,0.331644,467.548239,4.016121,233.538269,91.5,87,792,66.85119,1.151859,141.281517,77.181204,0.506656,222.797619,1.680739,0.059881
"20151209","MW1056-29","C1","Bensulide","30.00000","uM","1","",1.434732,2.340659,0.145566,169.65925,0.9155,130.99675,53.5,14,307.5,49.903676,0.285886,243.52719,46.348441,0.065601,144.111029,1.845898,0.021745
"20151209","MW1056-36","C2","Bensulide","30.00000","uM","1","",4.106317,10.73625,0.097776,275.199551,0.651062,81.681159,68.5,39.5,341,60.825843,0.362332,223.682663,41.692953,0.05881,210.521727,1.843251,0.033441
"20151209","MW1056-28","C8","Bensulide","30.00000","uM","1","",0.613594,0.038571,0,0,0,0,23,0,81.5,29.956522,0.248249,90.607183,406.499583,0.050757,41.847826,1.289535,0
"20160330","MW1117-23","F1","Bensulide","30.00000","uM","1","",4.365842,17.281875,0.078825,314.41585,0.743412,82.7803,66.5,62.5,334.5,63.626437,0.499483,216.60575,42.295553,0.065307,382.29863,2.060073,0.058593
"20160330","MW1117-24","F2","Bensulide","30.00000","uM","1","",2.631364,11.84,0.079351,354.478538,0.799654,85.137077,61.5,52,282,60.333522,0.43869,227.56286,54.797394,0.05225,306.732237,2.139132,0.044732
"20160330","MW1117-22","F8","Bensulide","30.00000","uM","1","",1.666278,6.259286,0.080733,316.922292,0.744764,117.995194,53.5,34.5,191.5,57.846437,0.38987,209.472401,79.287682,0.09199,231.805283,1.966548,0.028466
"20160413","MW1125-4","F1","Chlorethoxyfos","30.00000","uM","1","",17.567624,25.199363,0.874526,314.6595,7.013491,249.57842,81,47.5,162.5,54.323171,1.040044,14.177359,162.033267,0.289418,165.995935,0.253777,0.006568
"20160413","MW1125-5","F2","Chlorethoxyfos","30.00000","uM","1","",20.562182,37.23101,0.702914,364.118419,7.763319,124.585206,102.5,76.5,345.5,50.67554,1.02643,22.636246,83.39151,0.382371,219.560818,0.403796,0.020842
"20160413","MW1125-3","F8","Chlorethoxyfos","30.00000","uM","1","",8.725792,27.1825,0.405584,324.642841,2.909705,116.810273,67,45.5,87.5,39.642857,0.642845,14.206804,197.826697,0.25431,114.342857,0.17357,0.003319
"20160217","MW1105-23","E1","Chlorpyrifos","30.00000","uM","1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20160217","MW1105-26","E2","Chlorpyrifos","30.00000","uM","1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20160217","MW1105-20","E8","Chlorpyrifos","30.00000","uM","1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20160413","MW1125-4","E1","Chlorpyrifos oxon","30.00000","uM","1","",11.736441,27.320893,0.320292,557.698964,3.576232,267.455933,104.5,102,454,96.920552,1.682202,117.396971,732.285869,0.599064,466.720448,2.133849,0.081879
"20160413","MW1125-5","E2","Chlorpyrifos oxon","30.00000","uM","1","",13.462806,29.777196,0.335341,575.73715,3.786378,213.773623,112.5,107.5,513.5,95.044213,1.637118,97.586935,182.019393,0.696134,412.257278,2.17437,0.085863
"20160413","MW1125-3","E8","Chlorpyrifos oxon","30.00000","uM","1","",8.938003,20.537308,0.215683,466.58489,2.237545,304.981154,102.5,93.5,477,74.752922,0.931857,134.706441,127.432174,0.400959,341.997944,1.948106,0.057595
"20151209","MW1056-29","B1","Coumaphos","30.00000","uM","1","",11.790367,39.900625,0.667517,423.326693,4.148714,183.088871,82.5,70,929.5,40.639423,0.520142,122.016257,15.637041,0.256632,130.940247,0.952013,0.041908
"20151209","MW1056-36","B2","Coumaphos","30.00000","uM","1","",6.392398,18.018364,0.245005,333.907,2.075714,194.323607,87,70,1055,58.9178,0.722317,143.552694,73.128362,0.307698,106.926032,1.155331,0.029919
"20151209","MW1056-28","B8","Coumaphos","30.00000","uM","1","",5.847406,12.276875,0.362572,250.187226,2.790238,213.228881,82,53,571,43.030273,0.408842,100.856644,33.023054,0.213513,95.490926,0.932604,0.026831
"20160330","MW1117-23","A1","Diazonon","30.00000","uM","1","",10.298503,22.34875,0.377035,347.00178,4.528274,121.196805,104,75.5,473.5,73.191266,1.434593,54.34968,399.652298,0.622888,263.605835,0.873598,0.035995
"20160330","MW1117-24","A2","Diazonon","30.00000","uM","1","",10.939801,21.945625,0.565263,459.063625,5.091768,337.20042,106.5,94.5,736.5,73.834682,1.005049,94.734863,139.677588,0.610729,294.439274,1.823058,0.069195
"20160330","MW1117-22","A8","Diazonon","30.00000","uM","1","",7.327271,14.570769,0.681663,371.990292,5.528912,362.66505,92.5,73.5,250,75.176471,1.370212,77.376794,241.31396,0.448025,272.260695,1.055281,0.026527
"20160413","MW1125-4","D1","Diazoxon","30.00000","uM","1","",10.687213,21.778,0.318354,508.016163,3.637163,329.605117,89,81.5,490,75.752591,1.275595,120.623444,133.344239,0.444037,392.478037,1.892855,0.077268
"20160413","MW1125-5","D2","Diazoxon","30.00000","uM","1","",15.247912,30.141989,0.293674,587.067177,4.405712,217.461427,123.5,118.5,745,101.093722,1.703877,97.638244,205.512165,0.742863,346.867739,2.158807,0.105798
"20160413","MW1125-3","D8","Diazoxon","30.00000","uM","1","",8.472366,18.45125,0.273829,570.066077,2.881856,349.286931,103.5,99,388,87.31905,1.285428,124.214767,156.843456,0.330677,422.189423,2.335574,0.064107
"20160330","MW1117-23","C1","Dicrotophos","30.00000","uM","1","",13.036594,24.8475,0.348038,525.17391,3.979321,204.832702,101.5,96.5,412,80.973209,1.58637,80.208055,135.867756,0.846437,409.803868,2.048282,0.08531
"20160330","MW1117-24","C2","Dicrotophos","30.00000","uM","1","",8.573169,18.351875,0.209818,581.723719,3.019625,379.575375,126,118.5,304,119.12156,2.185134,104.1479,379.853664,0.71437,478.591734,2.740224,0.086042
"20160330","MW1117-22","C8","Dicrotophos","30.00000","uM","1","",10.60537,23.3525,0.272708,639.312719,3.843594,284.103469,111,98.5,310,107.093511,2.211642,73.303927,738.165807,0.59798,472.151894,1.910671,0.067085
"20160330","MW1117-23","B1","Dimethoate","30.00000","uM","1","",9.381573,18.110625,0.289213,342.859125,3.777563,155.844625,93,80,248,81.862524,1.383792,66.456538,237.306614,0.344935,309.571071,1.202449,0.038802
"20160330","MW1117-24","B2","Dimethoate","30.00000","uM","1","",10.261895,19.631125,0.467535,422.582272,3.954643,384.064853,109,94.5,327,82.175928,1.213946,82.394907,182.331369,0.580133,413.716057,1.711344,0.061851
"20160330","MW1117-22","B8","Dimethoate","30.00000","uM","1","",10.235921,17.48575,0.514189,468.059622,4.988417,210.352035,106.5,84.5,172,84.522409,1.502958,56.558548,230.246423,0.42474,389.695145,1.204608,0.034489
"20160217","MW1105-23","A1","Ethoprop","30.00000","uM","1","",6.707949,9.681429,0.408928,186.576346,6.869135,84.207442,54,24.5,62,40.681818,0.687275,10.159015,474.85625,0.241972,99.318182,0.158543,0.003922
"20160217","MW1105-26","A2","Ethoprop","30.00000","uM","1","",3.917813,7.233857,0.218457,358.761923,2.337109,298.175788,61.5,40.5,107,57.449405,0.873608,43.242423,458.231923,0.247371,166.933333,0.474873,0.007555
"20160217","MW1105-20","A8","Ethoprop","30.00000","uM","1","",5.05684,0.675,0.478507,27.104,2.6005,195.699,26.5,4,4.5,13,0.120551,1.106784,278.475,0.026474,18,0.021152,9.7e-05
"20160120","MW1092-6","B1","Fosthiazate","30.00000","uM","1","",8.490351,17.765208,0.143347,428.3703,2.3913,150.7775,82,70,563,68.234066,0.864556,128.117859,113.551858,0.473483,267.702747,1.80485,0.077027
"20160120","MW1092-29","B2","Fosthiazate","30.00000","uM","1","",8.134896,20.403125,0.331502,701.28424,3.381566,284.190872,95.5,84.5,436,74.499785,1.154215,129.479426,100.55684,0.483033,316.192287,2.08806,0.077793
"20160120","MW1092-5","B8","Fosthiazate","30.00000","uM","1","",9.503476,21.56925,0.175538,471.63775,2.612698,159.47225,84,77.5,373.5,78.338978,1.172749,105.199081,129.842668,0.378944,416.310458,1.979038,0.07196
"20160217","MW1105-23","B1","Malathion","30.00000","uM","1","",0.656849,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,-0.002868,0
"20160217","MW1105-26","B2","Malathion","30.00000","uM","1","",3.067231,1.695,0.238158,25.19925,1.36575,28.923,14,3,0,0,0,0,0,0,0,0.001804,4.1e-05
"20160217","MW1105-20","B8","Malathion","30.00000","uM","1","",3.95912,8.172,0.113749,118.8045,1.008,2.2965,10,1.5,0,0,0,0,0,0,0,0.009896,6.8e-05
"20160120","MW1092-6","A1","Malaxon","30.00000","uM","1","",8.794021,22.379375,0.296113,527.994178,2.983142,304.761968,108,92,612,102.231862,1.559862,137.535484,292.251857,0.361814,371.240227,1.790882,0.051524
"20160120","MW1092-29","A2","Malaxon","30.00000","uM","1","",9.394808,20.957917,0.145438,425.249493,2.396243,159.242222,87,82,425,83.81746,1.229504,118.56211,133.371251,0.462433,374.732804,2.021132,0.067961
"20160120","MW1092-5","A8","Malaxon","30.00000","uM","1","",27.156022,35.242143,0.514818,659.437964,22.065286,152.264964,76.5,72.5,545,62.675693,1.202924,121.108275,99.039507,0.595421,282.149041,1.798045,0.075071
"20160330","MW1117-23","D1","Methamidophos","30.00000","uM","1","",16.877084,27.32375,0.301473,584.980562,4.471906,211.428531,111,108.5,391,109.846292,2.036757,93.741264,249.79136,0.535928,615.048997,2.714564,0.113985
"20160330","MW1117-24","D2","Methamidophos","30.00000","uM","1","",13.402922,23.754375,0.257967,606.453031,4.509656,273.526406,121,116,252.5,122.304695,2.30154,84.165774,330.716271,0.571279,639.091908,2.650864,0.097373
"20160330","MW1117-22","D8","Methamidophos","30.00000","uM","1","",10.269072,14.112875,0.188617,544.7226,5.092167,363.812817,106.5,95,215.5,113.588108,2.234736,105.639132,382.848304,0.379713,697.444328,2.468221,0.081427
"20151209","MW1056-29","F1","Methamidophos","30.00000","uM","1","",15.263791,32.535268,0.162178,480.128357,2.891585,83.703214,97,92,596.5,81.592626,1.597561,111.760787,72.700433,0.63335,399.249143,2.14177,0.11663
"20151209","MW1056-36","F2","Methamidophos","30.00000","uM","1","",13.587937,30.748125,0.276925,554.787017,3.441221,278.46819,108.5,104,826,113.551203,1.535474,177.569358,224.704068,0.528727,438.97449,2.524136,0.105871
"20151209","MW1056-28","F8","Methamidophos","30.00000","uM","1","",12.176689,25.224792,0.164914,489.579247,2.774926,90.128216,82,71,629,69.347083,1.038037,134.942575,71.9591,0.395004,266.917203,1.850506,0.069829
"20160217","MW1105-23","F1","Naled","30.00000","uM","1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
