spid,treatment,aenm,max_med,coff,sc_hit,sc_pos,hit_count
1210314416,3360 G09,CCTE_Shafer_MEA_dev_network_spike_peak_dn,100,53.0434,1,1,5
1210314416,3360 G09,CCTE_Shafer_MEA_dev_inter_network_spike_interval_mean_up,-100,472.59,0,1,5
1210314416,3360 G09,CCTE_Shafer_MEA_dev_mutual_information_norm_up,-100,118.434,0,1,5
1210314428,3360 C11,CCTE_Shafer_MEA_dev_AB_dn,96.27780499,30,1,1,5
1210314428,3360 C11,CCTE_Shafer_MEA_dev_LDH_dn,99.41386705,30,1,1,5
1210314428,3360 C11,CCTE_Shafer_MEA_dev_bursting_electrodes_number_dn,100,47.0176,1,1,5
1210314428,3360 C11,CCTE_Shafer_MEA_dev_firing_rate_mean_DIV12_dn,100,55.5246,1,1,5
1210314428,3360 C11,CCTE_Shafer_MEA_dev_network_spike_peak_dn,100,53.0434,1,1,5
1210314428,3360 C11,CCTE_Shafer_MEA_dev_inter_network_spike_interval_mean_up,-100,472.59,0,1,5
1210314428,3360 C11,CCTE_Shafer_MEA_dev_mutual_information_norm_up,-100,118.434,0,1,5
1210314431,3360 F11,CCTE_Shafer_MEA_dev_AB_dn,67.10390747,30,1,1,5
1210314431,3360 F11,CCTE_Shafer_MEA_dev_LDH_dn,66.93556996,30,1,1,5
1210314431,3360 F11,CCTE_Shafer_MEA_dev_bursting_electrodes_number_dn,100,47.0176,1,1,5
1210314431,3360 F11,CCTE_Shafer_MEA_dev_network_spike_peak_dn,100,53.0434,1,1,5
1210314431,3360 F11,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_up,113.3551968,68.4416,1,1,5
1210314431,3360 F11,CCTE_Shafer_MEA_dev_firing_rate_mean_DIV12_dn,-39.19823194,55.5246,0,1,5
1210314431,3360 F11,CCTE_Shafer_MEA_dev_inter_network_spike_interval_mean_up,-100,472.59,0,1,5
1210314431,3360 F11,CCTE_Shafer_MEA_dev_mutual_information_norm_up,-100,118.434,0,1,5
1210314431,3360 F11,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_dn,-113.3551968,52.8475,0,1,5
1210314361,3360 H02,CCTE_Shafer_MEA_dev_AB_dn,32.33550846,30,1,1,4
1210314361,3360 H02,CCTE_Shafer_MEA_dev_LDH_dn,75.8292032,30,1,1,4
1210314361,3360 H02,CCTE_Shafer_MEA_dev_bursting_electrodes_number_dn,83.60655738,47.0176,1,1,4
1210314361,3360 H02,CCTE_Shafer_MEA_dev_network_spike_peak_dn,71.08979522,53.0434,1,1,4
1210314361,3360 H02,CCTE_Shafer_MEA_dev_firing_rate_mean_DIV12_dn,13.71625801,55.5246,0,1,4
1210314361,3360 H02,CCTE_Shafer_MEA_dev_inter_network_spike_interval_mean_up,-100,472.59,0,1,4
1210314361,3360 H02,CCTE_Shafer_MEA_dev_mutual_information_norm_up,-99.7716895,118.434,0,1,4
1210314361,3360 H02,CCTE_Shafer_MEA_dev_network_spike_peak_DIV12_dn,19.74925868,26.6127,0,1,4
1210314361,3360 H02,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_dn,-17.15595343,52.8475,0,1,4
1210314361,3360 H02,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_up,17.15595343,68.4416,0,1,4
1210314361,3360 H02,CCTE_Shafer_MEA_dev_per_network_spike_spike_number_mean_DIV12_up,-44.3344883,63.308,0,1,4
1210313690,3361 A03,CCTE_Shafer_MEA_dev_LDH_dn,41.93235908,30,1,1,3
1210313690,3361 A03,CCTE_Shafer_MEA_dev_bursting_electrodes_number_dn,100,47.0176,1,1,3
1210313690,3361 A03,CCTE_Shafer_MEA_dev_network_spike_peak_dn,77.21879445,53.0434,1,1,3
1210313690,3361 A03,CCTE_Shafer_MEA_dev_AB_dn,17.13326612,30,0,1,3
1210313690,3361 A03,CCTE_Shafer_MEA_dev_firing_rate_mean_DIV12_dn,54.23291792,55.5246,0,1,3
1210313690,3361 A03,CCTE_Shafer_MEA_dev_inter_network_spike_interval_mean_up,-85.73816075,472.59,0,1,3
1210313690,3361 A03,CCTE_Shafer_MEA_dev_mutual_information_norm_up,-100,118.434,0,1,3
1210313690,3361 A03,CCTE_Shafer_MEA_dev_network_spike_peak_DIV12_dn,-9.618424844,26.6127,0,1,3
1210313690,3361 A03,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_dn,30.57984266,52.8475,0,1,3
1210313690,3361 A03,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_up,-30.57984266,68.4416,0,1,3
1210313690,3361 A03,CCTE_Shafer_MEA_dev_per_network_spike_spike_number_mean_DIV12_up,5.962726584,63.308,0,1,3
1210313710,3361 E05,CCTE_Shafer_MEA_dev_AB_dn,37.00875335,30,1,1,3
1210313710,3361 E05,CCTE_Shafer_MEA_dev_LDH_dn,63.79941826,30,1,1,3
1210313710,3361 E05,CCTE_Shafer_MEA_dev_per_burst_interspike_interval_DIV12_up,99.03530722,68.4416,1,1,3
1210313710,3361 E05,CCTE_Shafer_MEA_dev_bursting_electrodes_number_dn,8.571428571,47.0176,0,1,3
1210313710,3361 E05,CCTE_Shafer_MEA_dev_firing_rate_mean_DIV12_dn,-123.225766,55.5246,0,1,3
1210313710,3361 E05,CCTE_Shafer_MEA_dev_inter_network_spike_interval_mean_up,-47.29237704,472.59,0,1,3
