date,Plate.SN,DIV,well,trt,dose,units,meanfiringrate,burst.per.min,mean.isis,per.spikes.in.burst,mean.dur,mean.IBIs,nAE,nABE,ns.n,ns.peak.m,ns.durn.m,ns.percent.of.spikes.in.ns,ns.mean.insis,ns.durn.sd,ns.mean.spikes.in.ns,r,cv.time,cv.network,file.name
20140205,MW1007-26,5,D3,Loperamide,0.3,uM,0.387979687,0.06,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0.002502219,1.752589015,1.859878691,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,D4,Loperamide,1,uM,0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,D5,Loperamide,3,uM,0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,D6,Loperamide,10,uM,0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,D7,Loperamide,30,uM,0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,D8,Loperamide,0,uM,1.064668281,2.316,0.109979162,34.133,0.752,4.428,5,1,0,NA,NA,0,NA,NA,NA,0.002684048,0.63925693,2.258948039,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,E1,Mevastatin,0,uM,2.116187157,2.613333333,0.094496588,74.64666667,9.284333333,6.911,9,3,0,NA,NA,0,NA,NA,NA,0.000207297,0.967204502,1.923696912,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,E2,Mevastatin,0.1,uM,3.438822193,1.968,0.07208555,63.29714286,8.615142857,27.07785714,10,7,13,8.923076923,0.210673077,0.476713188,74.275,0.061803887,11.69230769,0.027403642,0.585987137,1.89227162,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,E3,Mevastatin,0.3,uM,0.496353901,1.44,0.068337286,68.147,0.374,8.028,5,1,0,NA,NA,0,NA,NA,NA,0.007999878,1.441325524,2.493230519,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,E4,Mevastatin,1,uM,0.123546604,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0.620708204,3.037085361,2.534302098,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,E5,Mevastatin,3,uM,0.206994749,0,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,0.003734828,1.276891158,1.427304385,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,E6,Mevastatin,10,uM,0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,E7,Mevastatin,30,uM,0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,E8,Mevastatin,0,uM,1.261475854,1.4,0.133571388,22.267,0.853,26.5405,6,2,0,NA,NA,0,NA,NA,NA,0.003864698,0.970482365,0.951736155,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,F1,Sodium Orthovanadate,0,uM,0.536885857,0.336,0.092729573,7.606,0.417,23.975,5,1,0,NA,NA,0,NA,NA,NA,0.000852194,0.993402893,2.10610098,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,F2,Sodium Orthovanadate,0.03,uM,0.696846198,0.308571429,0.123683288,12.901,0.583,29.381,7,1,0,NA,NA,0,NA,NA,NA,0.000104922,1.000244717,0.998620364,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,F3,Sodium Orthovanadate,0.1,uM,0.982592876,2.67,0.068706334,65.233,0.384,3.371,6,1,0,NA,NA,0,NA,NA,NA,7.28E-05,1.027932405,1.609590874,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,F4,Sodium Orthovanadate,0.3,uM,0.372400894,0.375,0.095472903,27.097,0.515,19.436,8,1,0,NA,NA,0,NA,NA,NA,0.000622391,0.814840914,2.104202109,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,F5,Sodium Orthovanadate,1,uM,0.692511229,0.096,NA,0,NA,NA,5,0,0,NA,NA,0,NA,NA,NA,0.000154865,1.008481418,0.907960425,ON_20140205_MW1007-26_DIV05_001.h5
20140205,MW1007-26,5,F6,Sodium Orthovanadate,3,uM,1.131968668,0.51,0.144039481,11.025,0.716,27.123,4,1,0,NA,NA,0,NA,NA,NA,-0.000536801,0.884686639,1.434843471,ON_20140205_MW1007-26_DIV05_001.h5
