"date","Plate.SN","well","DIV","treatment","dose","units","file.name","meanfiringrate","burst.per.min","mean.isis","per.spikes.in.burst","mean.dur","mean.IBIs","nAE","nABE","ns.n","ns.peak.m","ns.durn.m","ns.percent.of.spikes.in.ns","ns.mean.insis","ns.durn.sd","ns.mean.spikes.in.ns","r","mi","wllq","wllq_notes"
"20210127","MW75-5620","A6",12,"Chlorpyrifos oxon","3.00000","uM","NFA_20210127_MW75-5620_12_00(000).h5",1.01007839831165,0.015,NA,0,NA,NA,4,0,0,NA,NA,0,NA,NA,NA,0.000219240407944149,8.0697165267471e-06,0,"low activity across culture; "
"20210127","MW75-5620","A6",5,"Chlorpyrifos oxon","3.00000","uM","NFA_20210127_MW75-5620_05_00(000).h5",0.755635552172679,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","A6",7,"Chlorpyrifos oxon","3.00000","uM","NFA_20210127_MW75-5620_07_00(000).h5",0.53114798458453,0,NA,0,NA,NA,5,0,0,NA,NA,0,NA,NA,NA,0.000238734242009126,4.02459102295805e-06,0,"low activity across culture; "
"20210127","MW75-5620","A6",9,"Chlorpyrifos oxon","3.00000","uM","NFA_20210127_MW75-5620_09_00(000).h5",0.919307716990475,0.34,0.211475675675676,5.204,1.118,64.247,3,1,0,NA,NA,0,NA,NA,NA,-0.00137275163002404,2.45472012190551e-06,0,"low activity across culture; "
"20210127","MW75-5620","A7",12,"Chlorpyrifos oxon","10.00000","uM","NFA_20210127_MW75-5620_12_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","A7",5,"Chlorpyrifos oxon","10.00000","uM","NFA_20210127_MW75-5620_05_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","A7",7,"Chlorpyrifos oxon","10.00000","uM","NFA_20210127_MW75-5620_07_00(000).h5",0.413362029844027,0,NA,0,NA,NA,1,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","A7",9,"Chlorpyrifos oxon","10.00000","uM","NFA_20210127_MW75-5620_09_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","A8",12,"Chlorpyrifos oxon","30.00000","uM","NFA_20210127_MW75-5620_12_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
"20210127","MW75-5620","A8",5,"Chlorpyrifos oxon","30.00000","uM","NFA_20210127_MW75-5620_05_00(000).h5",0,0,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0,0,"low activity across culture; "
