"date","Plate.SN","rowi","coli","src_acsn","treatment","conc","rval","srcf","wllq","wllq_notes"
"20210127","MW75-5620",1,1,"AB","Chlorpyrifos oxon",0.03,3893,"20210127_NFA_Pos_Ctrl+Chlorpyrifos oxon_ Calculations.xlsx",0,"low activity across culture"
"20210127","MW75-5620",1,1,"LDH","Chlorpyrifos oxon",0.03,0.0321333333333333,"20210127_NFA_Pos_Ctrl+Chlorpyrifos oxon_ Calculations.xlsx",0,"low activity across culture"
"20210127","MW75-5620",1,2,"AB","DMSO",0,4808,"20210127_NFA_Pos_Ctrl+Chlorpyrifos oxon_ Calculations.xlsx",0,"low activity across culture"
"20210127","MW75-5620",1,2,"LDH","DMSO",0,0.0442333333333333,"20210127_NFA_Pos_Ctrl+Chlorpyrifos oxon_ Calculations.xlsx",0,"low activity across culture"
"20210127","MW75-5620",1,3,"AB","Chlorpyrifos oxon",0.1,5225,"20210127_NFA_Pos_Ctrl+Chlorpyrifos oxon_ Calculations.xlsx",0,"low activity across culture"
"20210127","MW75-5620",1,3,"LDH","Chlorpyrifos oxon",0.1,0.0424333333333333,"20210127_NFA_Pos_Ctrl+Chlorpyrifos oxon_ Calculations.xlsx",0,"low activity across culture"
"20210127","MW75-5620",1,4,"AB","Chlorpyrifos oxon",0.3,4452,"20210127_NFA_Pos_Ctrl+Chlorpyrifos oxon_ Calculations.xlsx",0,"low activity across culture"
"20210127","MW75-5620",1,4,"LDH","Chlorpyrifos oxon",0.3,0.0423333333333333,"20210127_NFA_Pos_Ctrl+Chlorpyrifos oxon_ Calculations.xlsx",0,"low activity across culture"
"20210127","MW75-5620",1,5,"AB","Chlorpyrifos oxon",1,3961,"20210127_NFA_Pos_Ctrl+Chlorpyrifos oxon_ Calculations.xlsx",0,"low activity across culture"
"20210127","MW75-5620",1,5,"LDH","Chlorpyrifos oxon",1,0.0321333333333333,"20210127_NFA_Pos_Ctrl+Chlorpyrifos oxon_ Calculations.xlsx",0,"low activity across culture"
"20210127","MW75-5620",1,6,"AB","Chlorpyrifos oxon",3,4307,"20210127_NFA_Pos_Ctrl+Chlorpyrifos oxon_ Calculations.xlsx",0,"low activity across culture"
"20210127","MW75-5620",1,6,"LDH","Chlorpyrifos oxon",3,0.0331333333333333,"20210127_NFA_Pos_Ctrl+Chlorpyrifos oxon_ Calculations.xlsx",0,"low activity across culture"
"20210127","MW75-5620",1,7,"AB","Chlorpyrifos oxon",10,3419,"20210127_NFA_Pos_Ctrl+Chlorpyrifos oxon_ Calculations.xlsx",0,"low activity across culture"
